date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"2,00",2000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Finn Ole Becker
06.2022,2022-06-16,22,"2,50",2500000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,21/22,Finn Ole Becker
12.2021,2021-12-15,21,"2,50",2500000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,21/22,Finn Ole Becker
06.2021,2021-06-16,21,"2,50",2500000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,20/21,Finn Ole Becker
03.2021,2021-03-29,20,"2,50",2500000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,20/21,Finn Ole Becker
02.2021,2021-02-08,20,"1,80",1800000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,20/21,Finn Ole Becker
04.2020,2020-04-08,19,"1,80",1800000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,19/20,Finn Ole Becker
04.2020,2020-04-02,19,"2,00",2000000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,19/20,Finn Ole Becker
12.2019,2019-12-13,19,"1,00",1000000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,19/20,Finn Ole Becker
09.2019,2019-09-25,19,"1,00",1000000,€,Mio.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,19/20,Finn Ole Becker
07.2019,2019-07-01,19,600,600000,€,Tsd.,35,FC St. Pauli,FC St. Pauli,https://tmssl.akamaized.net/images/wappen/medium/35.png?lm=1521036360,19/20,Finn Ole Becker
