date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"7,50",7500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Grischa Prömel
06.2022,2022-06-09,27,"7,50",7500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Grischa Prömel
03.2022,2022-03-24,27,"5,50",5500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Grischa Prömel
12.2021,2021-12-22,26,"4,50",4500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Grischa Prömel
06.2021,2021-06-09,26,"4,00",4000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Grischa Prömel
02.2021,2021-02-10,26,"4,00",4000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Grischa Prömel
07.2020,2020-07-08,25,"3,00",3000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Grischa Prömel
04.2020,2020-04-08,25,"1,60",1600000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Grischa Prömel
12.2019,2019-12-17,24,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Grischa Prömel
06.2019,2019-06-12,24,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Grischa Prömel
01.2019,2019-01-08,23,"1,25",1250000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Grischa Prömel
10.2018,2018-10-16,23,850,850000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Grischa Prömel
06.2018,2018-06-19,23,600,600000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,17/18,Grischa Prömel
01.2018,2018-01-22,23,600,600000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,17/18,Grischa Prömel
06.2017,2017-06-27,22,600,600000,€,Tsd.,48,Karlsruher SC,Karlsruher SC,https://tmssl.akamaized.net/images/wappen/medium/48.png?lm=1434793006,16/17,Grischa Prömel
03.2017,2017-03-27,22,700,700000,€,Tsd.,48,Karlsruher SC,Karlsruher SC,https://tmssl.akamaized.net/images/wappen/medium/48.png?lm=1434793006,16/17,Grischa Prömel
01.2017,2017-01-23,22,"1,00",1000000,€,Mio.,48,Karlsruher SC,Karlsruher SC,https://tmssl.akamaized.net/images/wappen/medium/48.png?lm=1434793006,16/17,Grischa Prömel
07.2016,2016-07-22,21,700,700000,€,Tsd.,48,Karlsruher SC,Karlsruher SC,https://tmssl.akamaized.net/images/wappen/medium/48.png?lm=1434793006,16/17,Grischa Prömel
02.2016,2016-02-11,21,700,700000,€,Tsd.,48,Karlsruher SC,Karlsruher SC,https://tmssl.akamaized.net/images/wappen/medium/48.png?lm=1434793006,15/16,Grischa Prömel
10.2015,2015-10-22,20,400,400000,€,Tsd.,48,Karlsruher SC,Karlsruher SC,https://tmssl.akamaized.net/images/wappen/medium/48.png?lm=1434793006,15/16,Grischa Prömel
07.2015,2015-07-01,20,100,100000,€,Tsd.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,15/16,Grischa Prömel
03.2015,2015-03-24,20,75,75000,€,Tsd.,983,TSG 1899 Hoffenheim II,Hoffenheim II,https://tmssl.akamaized.net/images/wappen/medium/983.png?lm=1675591766,14/15,Grischa Prömel
08.2014,2014-08-02,19,25,25000,€,Tsd.,983,TSG 1899 Hoffenheim II,Hoffenheim II,https://tmssl.akamaized.net/images/wappen/medium/983.png?lm=1675591766,14/15,Grischa Prömel
