date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,30,"1,00",1000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,22/23,Jacek Goralski
06.2022,2022-06-10,29,"1,60",1600000,€,Mio.,10482,Kairat Almaty,Kairat Almaty,https://tmssl.akamaized.net/images/wappen/medium/10482.png?lm=1523972599,21/22,Jacek Goralski
11.2021,2021-11-30,29,"1,80",1800000,€,Mio.,10482,Kairat Almaty,Kairat Almaty,https://tmssl.akamaized.net/images/wappen/medium/10482.png?lm=1523972599,21/22,Jacek Goralski
06.2021,2021-06-11,28,"2,30",2300000,€,Mio.,10482,Kairat Almaty,Kairat Almaty,https://tmssl.akamaized.net/images/wappen/medium/10482.png?lm=1523972599,20/21,Jacek Goralski
12.2020,2020-12-11,28,"2,50",2500000,€,Mio.,10482,Kairat Almaty,Kairat Almaty,https://tmssl.akamaized.net/images/wappen/medium/10482.png?lm=1523972599,20/21,Jacek Goralski
09.2020,2020-09-15,27,"2,50",2500000,€,Mio.,10482,Kairat Almaty,Kairat Almaty,https://tmssl.akamaized.net/images/wappen/medium/10482.png?lm=1523972599,20/21,Jacek Goralski
04.2020,2020-04-08,27,"2,40",2400000,€,Mio.,10482,Kairat Almaty,Kairat Almaty,https://tmssl.akamaized.net/images/wappen/medium/10482.png?lm=1523972599,19/20,Jacek Goralski
02.2020,2020-02-02,27,"3,00",3000000,€,Mio.,10482,Kairat Almaty,Kairat Almaty,https://tmssl.akamaized.net/images/wappen/medium/10482.png?lm=1523972599,19/20,Jacek Goralski
06.2019,2019-06-24,26,"3,00",3000000,€,Mio.,31614,Ludogorets Razgrad,Ludogorets,https://tmssl.akamaized.net/images/wappen/medium/31614.png?lm=1629528048,18/19,Jacek Goralski
01.2019,2019-01-24,26,"3,00",3000000,€,Mio.,31614,Ludogorets Razgrad,Ludogorets,https://tmssl.akamaized.net/images/wappen/medium/31614.png?lm=1629528048,18/19,Jacek Goralski
09.2018,2018-09-18,25,"3,00",3000000,€,Mio.,31614,Ludogorets Razgrad,Ludogorets,https://tmssl.akamaized.net/images/wappen/medium/31614.png?lm=1629528048,18/19,Jacek Goralski
02.2018,2018-02-09,25,"2,50",2500000,€,Mio.,31614,Ludogorets Razgrad,Ludogorets,https://tmssl.akamaized.net/images/wappen/medium/31614.png?lm=1629528048,17/18,Jacek Goralski
08.2017,2017-08-23,24,"1,25",1250000,€,Mio.,31614,Ludogorets Razgrad,Ludogorets,https://tmssl.akamaized.net/images/wappen/medium/31614.png?lm=1629528048,17/18,Jacek Goralski
07.2017,2017-07-05,24,900,900000,€,Tsd.,2300,Jagiellonia Bialystok,Jagiellonia,https://tmssl.akamaized.net/images/wappen/medium/2300.png?lm=1611305568,17/18,Jacek Goralski
01.2017,2017-01-21,24,750,750000,€,Tsd.,2300,Jagiellonia Bialystok,Jagiellonia,https://tmssl.akamaized.net/images/wappen/medium/2300.png?lm=1611305568,16/17,Jacek Goralski
07.2016,2016-07-24,23,400,400000,€,Tsd.,2300,Jagiellonia Bialystok,Jagiellonia,https://tmssl.akamaized.net/images/wappen/medium/2300.png?lm=1611305568,16/17,Jacek Goralski
03.2016,2016-03-28,23,400,400000,€,Tsd.,2300,Jagiellonia Bialystok,Jagiellonia,https://tmssl.akamaized.net/images/wappen/medium/2300.png?lm=1611305568,15/16,Jacek Goralski
01.2016,2016-01-10,23,400,400000,€,Tsd.,2300,Jagiellonia Bialystok,Jagiellonia,https://tmssl.akamaized.net/images/wappen/medium/2300.png?lm=1611305568,15/16,Jacek Goralski
06.2015,2015-06-30,22,250,250000,€,Tsd.,2118,Wisla Plock,Wisla Plock,https://tmssl.akamaized.net/images/wappen/medium/2118.png?lm=1410895849,14/15,Jacek Goralski
03.2015,2015-03-14,22,200,200000,€,Tsd.,2118,Wisla Plock,Wisla Plock,https://tmssl.akamaized.net/images/wappen/medium/2118.png?lm=1410895849,14/15,Jacek Goralski
08.2013,2013-08-13,20,150,150000,€,Tsd.,2118,Wisla Plock,Wisla Plock,https://tmssl.akamaized.net/images/wappen/medium/2118.png?lm=1410895849,13/14,Jacek Goralski
01.2013,2013-01-07,20,100,100000,€,Tsd.,2118,Wisla Plock,Wisla Plock,https://tmssl.akamaized.net/images/wappen/medium/2118.png?lm=1410895849,12/13,Jacek Goralski
