date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"3,50",3500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Jens Stage
09.2022,2022-09-21,25,"4,00",4000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Jens Stage
06.2022,2022-06-20,25,"3,50",3500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,21/22,Jens Stage
12.2021,2021-12-28,25,"3,50",3500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,21/22,Jens Stage
10.2021,2021-10-06,24,"3,00",3000000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,21/22,Jens Stage
06.2021,2021-06-04,24,"2,50",2500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,20/21,Jens Stage
12.2020,2020-12-23,24,"2,00",2000000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,20/21,Jens Stage
07.2020,2020-07-31,23,"3,00",3000000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,20/21,Jens Stage
04.2020,2020-04-08,23,"2,40",2400000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,19/20,Jens Stage
12.2019,2019-12-22,23,"3,00",3000000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,19/20,Jens Stage
09.2019,2019-09-09,22,"2,00",2000000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,19/20,Jens Stage
06.2019,2019-06-08,22,"1,00",1000000,€,Mio.,678,Aarhus GF,Aarhus GF,https://tmssl.akamaized.net/images/wappen/medium/678.png?lm=1518117578,18/19,Jens Stage
12.2018,2018-12-21,22,500,500000,€,Tsd.,678,Aarhus GF,Aarhus GF,https://tmssl.akamaized.net/images/wappen/medium/678.png?lm=1518117578,18/19,Jens Stage
06.2018,2018-06-02,21,500,500000,€,Tsd.,678,Aarhus GF,Aarhus GF,https://tmssl.akamaized.net/images/wappen/medium/678.png?lm=1518117578,17/18,Jens Stage
12.2017,2017-12-18,21,300,300000,€,Tsd.,678,Aarhus GF,Aarhus GF,https://tmssl.akamaized.net/images/wappen/medium/678.png?lm=1518117578,17/18,Jens Stage
06.2017,2017-06-21,20,300,300000,€,Tsd.,678,Aarhus GF,Aarhus GF,https://tmssl.akamaized.net/images/wappen/medium/678.png?lm=1518117578,16/17,Jens Stage
12.2016,2016-12-12,20,200,200000,€,Tsd.,678,Aarhus GF,Aarhus GF,https://tmssl.akamaized.net/images/wappen/medium/678.png?lm=1518117578,16/17,Jens Stage
08.2016,2016-08-12,19,100,100000,€,Tsd.,678,Aarhus GF,Aarhus GF,https://tmssl.akamaized.net/images/wappen/medium/678.png?lm=1518117578,16/17,Jens Stage
01.2016,2016-01-21,19,50,50000,€,Tsd.,5874,Brabrand IF,Brabrand IF,https://tmssl.akamaized.net/images/wappen/medium/5874.png?lm=1458926029,15/16,Jens Stage
