date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"80,00",80000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,22/23,Joshua Kimmich
06.2022,2022-06-09,27,"80,00",80000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,21/22,Joshua Kimmich
12.2021,2021-12-22,26,"85,00",85000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,21/22,Joshua Kimmich
06.2021,2021-06-01,26,"90,00",90000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Joshua Kimmich
02.2021,2021-02-10,26,"90,00",90000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Joshua Kimmich
09.2020,2020-09-16,25,"85,00",85000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Joshua Kimmich
07.2020,2020-07-08,25,"75,00",75000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Joshua Kimmich
04.2020,2020-04-08,25,"64,00",64000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Joshua Kimmich
12.2019,2019-12-17,24,"80,00",80000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Joshua Kimmich
06.2019,2019-06-05,24,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,18/19,Joshua Kimmich
12.2018,2018-12-18,23,"60,00",60000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,18/19,Joshua Kimmich
06.2018,2018-06-05,23,"55,00",55000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,17/18,Joshua Kimmich
04.2018,2018-04-04,23,"55,00",55000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,17/18,Joshua Kimmich
12.2017,2017-12-28,22,"40,00",40000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,17/18,Joshua Kimmich
06.2017,2017-06-19,22,"25,00",25000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,16/17,Joshua Kimmich
02.2017,2017-02-07,21,"25,00",25000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,16/17,Joshua Kimmich
07.2016,2016-07-22,21,"20,00",20000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,16/17,Joshua Kimmich
06.2016,2016-06-01,21,"13,00",13000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,15/16,Joshua Kimmich
04.2016,2016-04-13,21,"10,00",10000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,15/16,Joshua Kimmich
02.2016,2016-02-15,21,"8,00",8000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,15/16,Joshua Kimmich
07.2015,2015-07-01,20,"5,00",5000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,15/16,Joshua Kimmich
01.2015,2015-01-13,19,"5,00",5000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,14/15,Joshua Kimmich
10.2014,2014-10-01,19,"1,50",1500000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,14/15,Joshua Kimmich
06.2014,2014-06-30,19,700,700000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,13/14,Joshua Kimmich
01.2014,2014-01-24,18,500,500000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,13/14,Joshua Kimmich
08.2013,2013-08-09,18,300,300000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,13/14,Joshua Kimmich
