date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,32,"3,00",3000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,22/23,Josuha Guilavogui
05.2022,2022-05-30,31,"3,50",3500000,€,Mio.,40,FC Girondins Bordeaux,G. Bordeaux,https://tmssl.akamaized.net/images/wappen/medium/40.png?lm=1627322046,21/22,Josuha Guilavogui
12.2021,2021-12-22,31,"4,00",4000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Josuha Guilavogui
06.2021,2021-06-09,30,"5,00",5000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Josuha Guilavogui
02.2021,2021-02-10,30,"7,00",7000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Josuha Guilavogui
04.2020,2020-04-08,29,"11,00",11000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,19/20,Josuha Guilavogui
12.2019,2019-12-17,29,"14,00",14000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,19/20,Josuha Guilavogui
06.2019,2019-06-05,28,"12,00",12000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,18/19,Josuha Guilavogui
12.2018,2018-12-18,28,"7,00",7000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,18/19,Josuha Guilavogui
06.2018,2018-06-05,27,"7,00",7000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,17/18,Josuha Guilavogui
04.2018,2018-04-04,27,"7,00",7000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,17/18,Josuha Guilavogui
12.2017,2017-12-28,27,"8,00",8000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,17/18,Josuha Guilavogui
06.2017,2017-06-19,26,"8,00",8000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,16/17,Josuha Guilavogui
02.2017,2017-02-07,26,"10,00",10000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,16/17,Josuha Guilavogui
07.2016,2016-07-22,25,"10,00",10000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,16/17,Josuha Guilavogui
02.2016,2016-02-15,25,"12,00",12000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,15/16,Josuha Guilavogui
07.2015,2015-07-01,24,"12,00",12000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,15/16,Josuha Guilavogui
02.2015,2015-02-04,24,"12,00",12000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,14/15,Josuha Guilavogui
07.2014,2014-07-20,23,"10,00",10000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,14/15,Josuha Guilavogui
01.2014,2014-01-23,23,"10,00",10000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,13/14,Josuha Guilavogui
09.2013,2013-09-17,22,"10,00",10000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,13/14,Josuha Guilavogui
05.2013,2013-05-30,22,"6,50",6500000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,12/13,Josuha Guilavogui
01.2013,2013-01-07,22,"4,50",4500000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,12/13,Josuha Guilavogui
05.2012,2012-05-23,21,"4,00",4000000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,11/12,Josuha Guilavogui
12.2011,2011-12-24,21,"3,00",3000000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,11/12,Josuha Guilavogui
09.2011,2011-09-03,20,"1,75",1750000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,11/12,Josuha Guilavogui
05.2011,2011-05-24,20,"1,20",1200000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,10/11,Josuha Guilavogui
