date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
12.2022,2022-12-23,19,"110,00",110000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Jude Bellingham
11.2022,2022-11-09,19,"100,00",100000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Jude Bellingham
09.2022,2022-09-21,19,"90,00",90000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Jude Bellingham
06.2022,2022-06-09,18,"80,00",80000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Jude Bellingham
12.2021,2021-12-22,18,"75,00",75000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Jude Bellingham
10.2021,2021-10-07,18,"70,00",70000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Jude Bellingham
05.2021,2021-05-28,17,"55,00",55000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Jude Bellingham
02.2021,2021-02-10,17,"35,00",35000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Jude Bellingham
09.2020,2020-09-16,17,"27,00",27000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Jude Bellingham
04.2020,2020-04-08,16,"11,00",11000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,19/20,Jude Bellingham
02.2020,2020-02-27,16,"12,00",12000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,19/20,Jude Bellingham
10.2019,2019-10-17,16,"2,50",2500000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,19/20,Jude Bellingham
