date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,34,600,600000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Julian Baumgartlinger
06.2022,2022-06-09,34,800,800000,€,Tsd.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Julian Baumgartlinger
12.2021,2021-12-22,33,"1,20",1200000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Julian Baumgartlinger
06.2021,2021-06-09,33,"1,50",1500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Julian Baumgartlinger
05.2021,2021-05-27,33,"2,00",2000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Julian Baumgartlinger
02.2021,2021-02-10,33,"2,00",2000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Julian Baumgartlinger
09.2020,2020-09-16,32,"2,00",2000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Julian Baumgartlinger
04.2020,2020-04-08,32,"2,40",2400000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Julian Baumgartlinger
12.2019,2019-12-17,31,"3,00",3000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Julian Baumgartlinger
06.2019,2019-06-05,31,"3,50",3500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Julian Baumgartlinger
12.2018,2018-12-18,30,"4,00",4000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Julian Baumgartlinger
06.2018,2018-06-05,30,"4,00",4000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,17/18,Julian Baumgartlinger
