date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"15,00",15000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,22/23,Julian Weigl
09.2022,2022-09-21,27,"15,00",15000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,22/23,Julian Weigl
05.2022,2022-05-31,26,"22,00",22000000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,21/22,Julian Weigl
12.2021,2021-12-27,26,"22,00",22000000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,21/22,Julian Weigl
05.2021,2021-05-21,25,"20,00",20000000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,20/21,Julian Weigl
03.2021,2021-03-25,25,"20,00",20000000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,20/21,Julian Weigl
01.2021,2021-01-28,25,"17,00",17000000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,20/21,Julian Weigl
10.2020,2020-10-22,25,"17,00",17000000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,20/21,Julian Weigl
08.2020,2020-08-17,24,"20,00",20000000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,20/21,Julian Weigl
04.2020,2020-04-08,24,"18,50",18500000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,19/20,Julian Weigl
12.2019,2019-12-17,24,"23,00",23000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Julian Weigl
06.2019,2019-06-05,23,"25,00",25000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Julian Weigl
12.2018,2018-12-18,23,"22,00",22000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Julian Weigl
10.2018,2018-10-22,23,"25,00",25000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Julian Weigl
06.2018,2018-06-05,22,"30,00",30000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Julian Weigl
12.2017,2017-12-28,22,"30,00",30000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Julian Weigl
06.2017,2017-06-19,21,"25,00",25000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Julian Weigl
02.2017,2017-02-07,21,"23,00",23000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Julian Weigl
07.2016,2016-07-22,20,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Julian Weigl
06.2016,2016-06-01,20,"14,00",14000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,15/16,Julian Weigl
04.2016,2016-04-13,20,"12,00",12000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,15/16,Julian Weigl
02.2016,2016-02-15,20,"9,00",9000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,15/16,Julian Weigl
10.2015,2015-10-16,20,"7,00",7000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,15/16,Julian Weigl
