date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,21,"7,50",7500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,22/23,Junior Dina Ebimbe
05.2022,2022-05-30,21,"5,00",5000000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,21/22,Junior Dina Ebimbe
12.2021,2021-12-16,21,"5,00",5000000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,21/22,Junior Dina Ebimbe
06.2021,2021-06-04,20,"6,00",6000000,€,Mio.,2969,Dijon FCO,Dijon FCO,https://tmssl.akamaized.net/images/wappen/medium/2969.png?lm=1408780404,20/21,Junior Dina Ebimbe
01.2021,2021-01-07,20,"6,00",6000000,€,Mio.,2969,Dijon FCO,Dijon FCO,https://tmssl.akamaized.net/images/wappen/medium/2969.png?lm=1408780404,20/21,Junior Dina Ebimbe
10.2020,2020-10-15,19,"3,00",3000000,€,Mio.,2969,Dijon FCO,Dijon FCO,https://tmssl.akamaized.net/images/wappen/medium/2969.png?lm=1408780404,20/21,Junior Dina Ebimbe
08.2020,2020-08-03,19,"1,50",1500000,€,Mio.,2969,Dijon FCO,Dijon FCO,https://tmssl.akamaized.net/images/wappen/medium/2969.png?lm=1408780404,20/21,Junior Dina Ebimbe
04.2020,2020-04-08,19,900,900000,€,Tsd.,738,AC Le Havre,AC Le Havre,https://tmssl.akamaized.net/images/wappen/medium/738.png?lm=1408780648,19/20,Junior Dina Ebimbe
01.2020,2020-01-06,19,"1,00",1000000,€,Mio.,738,AC Le Havre,AC Le Havre,https://tmssl.akamaized.net/images/wappen/medium/738.png?lm=1408780648,19/20,Junior Dina Ebimbe
09.2019,2019-09-30,18,800,800000,€,Tsd.,738,AC Le Havre,AC Le Havre,https://tmssl.akamaized.net/images/wappen/medium/738.png?lm=1408780648,19/20,Junior Dina Ebimbe
