date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,29,"12,00",12000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Kerem Demirbay
06.2022,2022-06-09,28,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Kerem Demirbay
12.2021,2021-12-22,28,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Kerem Demirbay
06.2021,2021-06-09,27,"18,00",18000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Kerem Demirbay
02.2021,2021-02-10,27,"18,00",18000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Kerem Demirbay
11.2020,2020-11-26,27,"18,00",18000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Kerem Demirbay
04.2020,2020-04-08,26,"24,00",24000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Kerem Demirbay
12.2019,2019-12-17,26,"30,00",30000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Kerem Demirbay
06.2019,2019-06-05,25,"32,00",32000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kerem Demirbay
03.2019,2019-03-06,25,"25,00",25000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kerem Demirbay
12.2018,2018-12-18,25,"20,00",20000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kerem Demirbay
06.2018,2018-06-05,24,"12,00",12000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Kerem Demirbay
12.2017,2017-12-28,24,"12,00",12000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Kerem Demirbay
06.2017,2017-06-19,23,"10,00",10000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Kerem Demirbay
02.2017,2017-02-07,23,"4,50",4500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Kerem Demirbay
07.2016,2016-07-22,23,"1,75",1750000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Kerem Demirbay
02.2016,2016-02-11,22,"1,30",1300000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,15/16,Kerem Demirbay
07.2015,2015-07-01,21,"1,30",1300000,€,Mio.,41,Hamburger SV,Hamburger SV,https://tmssl.akamaized.net/images/wappen/medium/41.png?lm=1597319274,15/16,Kerem Demirbay
01.2015,2015-01-13,21,"1,00",1000000,€,Mio.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,14/15,Kerem Demirbay
10.2014,2014-10-01,21,700,700000,€,Tsd.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,14/15,Kerem Demirbay
07.2014,2014-07-10,21,350,350000,€,Tsd.,41,Hamburger SV,Hamburger SV,https://tmssl.akamaized.net/images/wappen/medium/41.png?lm=1597319274,14/15,Kerem Demirbay
06.2013,2013-06-28,19,350,350000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,12/13,Kerem Demirbay
12.2012,2012-12-28,19,200,200000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,12/13,Kerem Demirbay
07.2012,2012-07-05,19,100,100000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,12/13,Kerem Demirbay
