date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,32,"5,00",5000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,22/23,Kevin Kampl
06.2022,2022-06-09,31,"6,00",6000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Kevin Kampl
12.2021,2021-12-22,31,"8,00",8000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Kevin Kampl
06.2021,2021-06-09,30,"10,00",10000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Kevin Kampl
02.2021,2021-02-10,30,"14,00",14000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Kevin Kampl
09.2020,2020-09-16,29,"14,00",14000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Kevin Kampl
04.2020,2020-04-08,29,"17,50",17500000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Kevin Kampl
12.2019,2019-12-17,29,"22,00",22000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Kevin Kampl
06.2019,2019-06-05,28,"22,00",22000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Kevin Kampl
03.2019,2019-03-06,28,"22,00",22000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Kevin Kampl
12.2018,2018-12-18,28,"18,00",18000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Kevin Kampl
06.2018,2018-06-05,27,"18,00",18000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Kevin Kampl
12.2017,2017-12-28,27,"18,00",18000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Kevin Kampl
10.2017,2017-10-18,27,"18,00",18000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Kevin Kampl
06.2017,2017-06-19,26,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Kevin Kampl
02.2017,2017-02-07,26,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Kevin Kampl
10.2016,2016-10-13,26,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Kevin Kampl
07.2016,2016-07-22,25,"12,00",12000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Kevin Kampl
02.2016,2016-02-15,25,"12,00",12000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,15/16,Kevin Kampl
07.2015,2015-07-01,24,"9,00",9000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,15/16,Kevin Kampl
02.2015,2015-02-04,24,"10,00",10000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,14/15,Kevin Kampl
06.2014,2014-06-20,23,"9,00",9000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,13/14,Kevin Kampl
12.2013,2013-12-27,23,"7,50",7500000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,13/14,Kevin Kampl
09.2013,2013-09-16,22,"5,00",5000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,13/14,Kevin Kampl
06.2013,2013-06-04,22,"3,00",3000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,12/13,Kevin Kampl
12.2012,2012-12-19,22,"2,00",2000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,12/13,Kevin Kampl
09.2012,2012-09-24,21,"1,50",1500000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,12/13,Kevin Kampl
01.2012,2012-01-12,21,350,350000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,11/12,Kevin Kampl
08.2011,2011-08-08,20,200,200000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,11/12,Kevin Kampl
06.2011,2011-06-29,20,100,100000,€,Tsd.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,10/11,Kevin Kampl
01.2011,2011-01-12,20,100,100000,€,Tsd.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,10/11,Kevin Kampl
08.2010,2010-08-26,19,100,100000,€,Tsd.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,10/11,Kevin Kampl
03.2010,2010-03-08,19,100,100000,€,Tsd.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,09/10,Kevin Kampl
11.2009,2009-11-13,19,50,50000,€,Tsd.,211,Bayer 04 Leverkusen II (- 2014),Leverkusen II,https://tmssl.akamaized.net/images/wappen/medium/211.png?lm=1651221781,09/10,Kevin Kampl
08.2009,2009-08-20,18,25,25000,€,Tsd.,211,Bayer 04 Leverkusen II (- 2014),Leverkusen II,https://tmssl.akamaized.net/images/wappen/medium/211.png?lm=1651221781,09/10,Kevin Kampl
