date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,29,"1,00",1000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,22/23,Kevin Möhwald
06.2022,2022-06-09,28,"1,50",1500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Kevin Möhwald
12.2021,2021-12-22,28,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Kevin Möhwald
10.2021,2021-10-07,28,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Kevin Möhwald
06.2021,2021-06-09,27,"3,00",3000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Kevin Möhwald
03.2021,2021-03-31,27,"4,00",4000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Kevin Möhwald
02.2021,2021-02-10,27,"2,50",2500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Kevin Möhwald
09.2020,2020-09-16,27,"1,50",1500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Kevin Möhwald
07.2020,2020-07-08,27,"2,00",2000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Kevin Möhwald
04.2020,2020-04-08,26,"2,80",2800000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,19/20,Kevin Möhwald
12.2019,2019-12-17,26,"3,50",3500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,19/20,Kevin Möhwald
06.2019,2019-06-05,25,"4,00",4000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Kevin Möhwald
12.2018,2018-12-18,25,"2,50",2500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Kevin Möhwald
08.2018,2018-08-22,25,"3,00",3000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Kevin Möhwald
06.2018,2018-06-19,24,"2,50",2500000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,17/18,Kevin Möhwald
03.2018,2018-03-21,24,"2,00",2000000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,17/18,Kevin Möhwald
01.2018,2018-01-22,24,"1,50",1500000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,17/18,Kevin Möhwald
10.2017,2017-10-17,24,"1,50",1500000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,17/18,Kevin Möhwald
06.2017,2017-06-27,23,"1,30",1300000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,16/17,Kevin Möhwald
01.2017,2017-01-23,23,"1,00",1000000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,16/17,Kevin Möhwald
07.2016,2016-07-22,23,600,600000,€,Tsd.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,16/17,Kevin Möhwald
02.2016,2016-02-11,22,700,700000,€,Tsd.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,15/16,Kevin Möhwald
10.2015,2015-10-22,22,700,700000,€,Tsd.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,15/16,Kevin Möhwald
07.2015,2015-07-01,21,500,500000,€,Tsd.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,15/16,Kevin Möhwald
03.2015,2015-03-07,21,500,500000,€,Tsd.,111,Rot-Weiß Erfurt,Rot-Weiß Erfurt,https://tmssl.akamaized.net/images/wappen/medium/111.png?lm=1403259756,14/15,Kevin Möhwald
11.2014,2014-11-06,21,375,375000,€,Tsd.,111,Rot-Weiß Erfurt,Rot-Weiß Erfurt,https://tmssl.akamaized.net/images/wappen/medium/111.png?lm=1403259756,14/15,Kevin Möhwald
06.2014,2014-06-30,20,375,375000,€,Tsd.,111,Rot-Weiß Erfurt,Rot-Weiß Erfurt,https://tmssl.akamaized.net/images/wappen/medium/111.png?lm=1403259756,13/14,Kevin Möhwald
01.2014,2014-01-24,20,325,325000,€,Tsd.,111,Rot-Weiß Erfurt,Rot-Weiß Erfurt,https://tmssl.akamaized.net/images/wappen/medium/111.png?lm=1403259756,13/14,Kevin Möhwald
06.2013,2013-06-28,19,200,200000,€,Tsd.,111,Rot-Weiß Erfurt,Rot-Weiß Erfurt,https://tmssl.akamaized.net/images/wappen/medium/111.png?lm=1403259756,12/13,Kevin Möhwald
10.2012,2012-10-23,19,150,150000,€,Tsd.,111,Rot-Weiß Erfurt,Rot-Weiß Erfurt,https://tmssl.akamaized.net/images/wappen/medium/111.png?lm=1403259756,12/13,Kevin Möhwald
07.2012,2012-07-21,19,100,100000,€,Tsd.,111,Rot-Weiß Erfurt,Rot-Weiß Erfurt,https://tmssl.akamaized.net/images/wappen/medium/111.png?lm=1403259756,12/13,Kevin Möhwald
07.2012,2012-07-03,19,50,50000,€,Tsd.,111,Rot-Weiß Erfurt,Rot-Weiß Erfurt,https://tmssl.akamaized.net/images/wappen/medium/111.png?lm=1403259756,12/13,Kevin Möhwald
