date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"28,00",28000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,22/23,Konrad Laimer
06.2022,2022-06-09,25,"28,00",28000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Konrad Laimer
12.2021,2021-12-22,24,"26,00",26000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Konrad Laimer
05.2021,2021-05-27,24,"26,00",26000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Konrad Laimer
02.2021,2021-02-10,23,"26,00",26000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Konrad Laimer
09.2020,2020-09-16,23,"30,00",30000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Konrad Laimer
07.2020,2020-07-08,23,"28,00",28000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Konrad Laimer
04.2020,2020-04-08,22,"24,00",24000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Konrad Laimer
03.2020,2020-03-11,22,"30,00",30000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Konrad Laimer
12.2019,2019-12-17,22,"23,00",23000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Konrad Laimer
06.2019,2019-06-05,22,"17,00",17000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Konrad Laimer
03.2019,2019-03-06,21,"14,00",14000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Konrad Laimer
12.2018,2018-12-18,21,"8,00",8000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Konrad Laimer
06.2018,2018-06-05,21,"8,00",8000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Konrad Laimer
12.2017,2017-12-28,20,"7,00",7000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Konrad Laimer
06.2017,2017-06-02,20,"8,00",8000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,16/17,Konrad Laimer
12.2016,2016-12-22,19,"3,00",3000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,16/17,Konrad Laimer
10.2016,2016-10-06,19,"2,00",2000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,16/17,Konrad Laimer
06.2016,2016-06-01,19,"1,00",1000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,15/16,Konrad Laimer
12.2015,2015-12-29,18,700,700000,€,Tsd.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,15/16,Konrad Laimer
10.2015,2015-10-02,18,700,700000,€,Tsd.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,15/16,Konrad Laimer
06.2015,2015-06-17,18,800,800000,€,Tsd.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,14/15,Konrad Laimer
01.2015,2015-01-11,17,500,500000,€,Tsd.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,14/15,Konrad Laimer
11.2014,2014-11-22,17,350,350000,€,Tsd.,37024,FC Liefering,FC Liefering,https://tmssl.akamaized.net/images/wappen/medium/37024.png?lm=1427361240,14/15,Konrad Laimer
06.2014,2014-06-24,17,75,75000,€,Tsd.,11263,AKA Red Bull Salzburg U18,AKA Salzb. U18,https://tmssl.akamaized.net/images/wappen/medium/11263.png?lm=1557737354,13/14,Konrad Laimer
04.2014,2014-04-17,16,50,50000,€,Tsd.,11263,AKA Red Bull Salzburg U18,AKA Salzb. U18,https://tmssl.akamaized.net/images/wappen/medium/11263.png?lm=1557737354,13/14,Konrad Laimer
