date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"9,00",9000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,22/23,Kristijan Jakic
06.2022,2022-06-09,25,"9,00",9000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Kristijan Jakic
12.2021,2021-12-22,24,"7,50",7500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Kristijan Jakic
06.2021,2021-06-10,24,"4,00",4000000,€,Mio.,419,GNK Dinamo Zagreb,Dinamo Zagreb,https://tmssl.akamaized.net/images/wappen/medium/419.png?lm=1571921138,20/21,Kristijan Jakic
12.2020,2020-12-28,23,"2,00",2000000,€,Mio.,419,GNK Dinamo Zagreb,Dinamo Zagreb,https://tmssl.akamaized.net/images/wappen/medium/419.png?lm=1571921138,20/21,Kristijan Jakic
07.2020,2020-07-27,23,"1,20",1200000,€,Mio.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,20/21,Kristijan Jakic
04.2020,2020-04-08,22,525,525000,€,Tsd.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,19/20,Kristijan Jakic
12.2019,2019-12-27,22,650,650000,€,Tsd.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,19/20,Kristijan Jakic
09.2019,2019-09-16,22,500,500000,€,Tsd.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,19/20,Kristijan Jakic
03.2019,2019-03-11,21,500,500000,€,Tsd.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,18/19,Kristijan Jakic
09.2018,2018-09-25,21,300,300000,€,Tsd.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,18/19,Kristijan Jakic
03.2018,2018-03-18,20,250,250000,€,Tsd.,999,NK Istra 1961,NK Istra,https://tmssl.akamaized.net/images/wappen/medium/999.png?lm=1458922256,17/18,Kristijan Jakic
10.2017,2017-10-23,20,350,350000,€,Tsd.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,17/18,Kristijan Jakic
03.2017,2017-03-13,19,350,350000,€,Tsd.,420,RNK Split,RNK Split,https://tmssl.akamaized.net/images/wappen/medium/420.png?lm=1617963715,16/17,Kristijan Jakic
09.2016,2016-09-14,19,200,200000,€,Tsd.,420,RNK Split,RNK Split,https://tmssl.akamaized.net/images/wappen/medium/420.png?lm=1617963715,16/17,Kristijan Jakic
