date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"8,00",8000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Leandro Barreiro
06.2022,2022-06-09,22,"8,00",8000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Leandro Barreiro
03.2022,2022-03-24,22,"9,00",9000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Leandro Barreiro
12.2021,2021-12-22,21,"11,00",11000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Leandro Barreiro
06.2021,2021-06-09,21,"11,00",11000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Leandro Barreiro
02.2021,2021-02-10,21,"7,50",7500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Leandro Barreiro
07.2020,2020-07-08,20,"4,00",4000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Leandro Barreiro
04.2020,2020-04-08,20,"3,20",3200000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Leandro Barreiro
03.2020,2020-03-11,20,"3,50",3500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Leandro Barreiro
02.2020,2020-02-11,20,"1,80",1800000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Leandro Barreiro
12.2019,2019-12-17,19,500,500000,€,Tsd.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Leandro Barreiro
06.2019,2019-06-05,19,500,500000,€,Tsd.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Leandro Barreiro
12.2018,2018-12-18,18,400,400000,€,Tsd.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Leandro Barreiro
10.2018,2018-10-22,18,200,200000,€,Tsd.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Leandro Barreiro
