date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"65,00",65000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,22/23,Leon Goretzka
06.2022,2022-06-09,27,"65,00",65000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,21/22,Leon Goretzka
12.2021,2021-12-22,26,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,21/22,Leon Goretzka
06.2021,2021-06-01,26,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Leon Goretzka
02.2021,2021-02-10,26,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Leon Goretzka
09.2020,2020-09-16,25,"60,00",60000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Leon Goretzka
07.2020,2020-07-08,25,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Leon Goretzka
04.2020,2020-04-08,25,"40,00",40000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Leon Goretzka
12.2019,2019-12-17,24,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Leon Goretzka
06.2019,2019-06-05,24,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,18/19,Leon Goretzka
03.2019,2019-03-06,24,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,18/19,Leon Goretzka
12.2018,2018-12-18,23,"40,00",40000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,18/19,Leon Goretzka
06.2018,2018-06-05,23,"40,00",40000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,17/18,Leon Goretzka
12.2017,2017-12-28,22,"40,00",40000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,17/18,Leon Goretzka
06.2017,2017-06-19,22,"23,00",23000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,16/17,Leon Goretzka
03.2017,2017-03-22,22,"20,00",20000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,16/17,Leon Goretzka
02.2017,2017-02-07,22,"18,00",18000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,16/17,Leon Goretzka
07.2016,2016-07-22,21,"15,00",15000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,16/17,Leon Goretzka
02.2016,2016-02-15,21,"13,00",13000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,15/16,Leon Goretzka
10.2015,2015-10-16,20,"10,00",10000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,15/16,Leon Goretzka
07.2015,2015-07-01,20,"7,50",7500000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,15/16,Leon Goretzka
02.2015,2015-02-04,19,"7,50",7500000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,14/15,Leon Goretzka
07.2014,2014-07-10,19,"7,50",7500000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,14/15,Leon Goretzka
06.2013,2013-06-29,18,"4,50",4500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,12/13,Leon Goretzka
01.2013,2013-01-04,17,"3,50",3500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,12/13,Leon Goretzka
08.2012,2012-08-26,17,"1,00",1000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,12/13,Leon Goretzka
07.2012,2012-07-05,17,600,600000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,12/13,Leon Goretzka
