date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"11,00",11000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,22/23,Lucas Tousart
06.2022,2022-06-09,25,"9,00",9000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Lucas Tousart
12.2021,2021-12-22,24,"8,00",8000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Lucas Tousart
10.2021,2021-10-07,24,"12,00",12000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Lucas Tousart
06.2021,2021-06-09,24,"16,00",16000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Lucas Tousart
02.2021,2021-02-10,23,"16,00",16000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Lucas Tousart
09.2020,2020-09-16,23,"20,00",20000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Lucas Tousart
04.2020,2020-04-08,22,"16,00",16000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,19/20,Lucas Tousart
12.2019,2019-12-19,22,"20,00",20000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,19/20,Lucas Tousart
06.2019,2019-06-03,22,"20,00",20000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,18/19,Lucas Tousart
12.2018,2018-12-17,21,"20,00",20000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,18/19,Lucas Tousart
06.2018,2018-06-04,21,"25,00",25000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,17/18,Lucas Tousart
01.2018,2018-01-24,20,"25,00",25000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,17/18,Lucas Tousart
10.2017,2017-10-12,20,"10,00",10000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,17/18,Lucas Tousart
06.2017,2017-06-01,20,"5,00",5000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,16/17,Lucas Tousart
01.2017,2017-01-16,19,"2,50",2500000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,16/17,Lucas Tousart
07.2016,2016-07-13,19,"2,00",2000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,16/17,Lucas Tousart
02.2016,2016-02-04,18,"2,00",2000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,15/16,Lucas Tousart
09.2015,2015-09-06,18,"2,00",2000000,€,Mio.,1041,Olympique Lyon,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/medium/1041.png?lm=1656668172,15/16,Lucas Tousart
06.2015,2015-06-06,18,400,400000,€,Tsd.,1423,FC Valenciennes,FC Valenciennes,https://tmssl.akamaized.net/images/wappen/medium/1423.png?lm=1408780358,14/15,Lucas Tousart
04.2015,2015-04-05,17,150,150000,€,Tsd.,1423,FC Valenciennes,FC Valenciennes,https://tmssl.akamaized.net/images/wappen/medium/1423.png?lm=1408780358,14/15,Lucas Tousart
