date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Mahmoud Dahoud
06.2022,2022-06-09,26,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Mahmoud Dahoud
12.2021,2021-12-22,25,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Mahmoud Dahoud
10.2021,2021-10-07,25,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Mahmoud Dahoud
06.2021,2021-06-09,25,"16,00",16000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Mahmoud Dahoud
03.2021,2021-03-31,25,"11,00",11000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Mahmoud Dahoud
02.2021,2021-02-10,25,"8,50",8500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Mahmoud Dahoud
11.2020,2020-11-26,24,"10,00",10000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Mahmoud Dahoud
04.2020,2020-04-08,24,"6,50",6500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Mahmoud Dahoud
12.2019,2019-12-17,23,"8,00",8000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Mahmoud Dahoud
10.2019,2019-10-02,23,"10,00",10000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Mahmoud Dahoud
06.2019,2019-06-05,23,"14,00",14000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Mahmoud Dahoud
12.2018,2018-12-18,22,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Mahmoud Dahoud
06.2018,2018-06-05,22,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Mahmoud Dahoud
04.2018,2018-04-04,22,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Mahmoud Dahoud
12.2017,2017-12-28,21,"15,00",15000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Mahmoud Dahoud
06.2017,2017-06-19,21,"15,00",15000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Mahmoud Dahoud
02.2017,2017-02-07,21,"15,00",15000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Mahmoud Dahoud
07.2016,2016-07-22,20,"15,00",15000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Mahmoud Dahoud
04.2016,2016-04-13,20,"12,00",12000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,15/16,Mahmoud Dahoud
02.2016,2016-02-15,20,"8,00",8000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,15/16,Mahmoud Dahoud
10.2015,2015-10-16,19,"2,50",2500000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,15/16,Mahmoud Dahoud
07.2015,2015-07-01,19,600,600000,€,Tsd.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,15/16,Mahmoud Dahoud
02.2015,2015-02-04,19,600,600000,€,Tsd.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,14/15,Mahmoud Dahoud
11.2014,2014-11-03,18,600,600000,€,Tsd.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,14/15,Mahmoud Dahoud
07.2014,2014-07-10,18,150,150000,€,Tsd.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,14/15,Mahmoud Dahoud
02.2014,2014-02-20,18,150,150000,€,Tsd.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,13/14,Mahmoud Dahoud
08.2013,2013-08-27,17,200,200000,€,Tsd.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,13/14,Mahmoud Dahoud
