date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"15,00",15000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,22/23,Mattias Svanberg
06.2022,2022-06-07,23,"15,00",15000000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,21/22,Mattias Svanberg
12.2021,2021-12-28,22,"15,00",15000000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,21/22,Mattias Svanberg
05.2021,2021-05-31,22,"12,00",12000000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,20/21,Mattias Svanberg
03.2021,2021-03-23,22,"9,00",9000000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,20/21,Mattias Svanberg
12.2020,2020-12-29,21,"6,50",6500000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,20/21,Mattias Svanberg
08.2020,2020-08-25,21,"5,00",5000000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,20/21,Mattias Svanberg
04.2020,2020-04-08,21,"5,00",5000000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,19/20,Mattias Svanberg
12.2019,2019-12-12,20,"5,50",5500000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,19/20,Mattias Svanberg
06.2019,2019-06-06,20,"4,00",4000000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,18/19,Mattias Svanberg
12.2018,2018-12-20,19,"4,00",4000000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,18/19,Mattias Svanberg
10.2018,2018-10-12,19,"2,50",2500000,€,Mio.,1025,FC Bologna,FC Bologna,https://tmssl.akamaized.net/images/wappen/medium/1025.png?lm=1626441324,18/19,Mattias Svanberg
06.2018,2018-06-20,19,750,750000,€,Tsd.,496,Malmö FF,Malmö FF,https://tmssl.akamaized.net/images/wappen/medium/496.png?lm=1409230098,17/18,Mattias Svanberg
11.2017,2017-11-17,18,400,400000,€,Tsd.,496,Malmö FF,Malmö FF,https://tmssl.akamaized.net/images/wappen/medium/496.png?lm=1409230098,17/18,Mattias Svanberg
06.2017,2017-06-20,18,125,125000,€,Tsd.,496,Malmö FF,Malmö FF,https://tmssl.akamaized.net/images/wappen/medium/496.png?lm=1409230098,16/17,Mattias Svanberg
12.2016,2016-12-11,17,125,125000,€,Tsd.,496,Malmö FF,Malmö FF,https://tmssl.akamaized.net/images/wappen/medium/496.png?lm=1409230098,16/17,Mattias Svanberg
06.2016,2016-06-17,17,75,75000,€,Tsd.,496,Malmö FF,Malmö FF,https://tmssl.akamaized.net/images/wappen/medium/496.png?lm=1409230098,15/16,Mattias Svanberg
11.2015,2015-11-29,16,75,75000,€,Tsd.,496,Malmö FF,Malmö FF,https://tmssl.akamaized.net/images/wappen/medium/496.png?lm=1409230098,15/16,Mattias Svanberg
08.2015,2015-08-16,16,75,75000,€,Tsd.,496,Malmö FF,Malmö FF,https://tmssl.akamaized.net/images/wappen/medium/496.png?lm=1409230098,15/16,Mattias Svanberg
