date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"8,00",8000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,22/23,Maximilian Eggestein
06.2022,2022-06-09,25,"8,00",8000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Maximilian Eggestein
12.2021,2021-12-22,25,"7,50",7500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Maximilian Eggestein
06.2021,2021-06-09,24,"7,50",7500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Maximilian Eggestein
02.2021,2021-02-10,24,"11,00",11000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Maximilian Eggestein
04.2020,2020-04-08,23,"13,00",13000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,19/20,Maximilian Eggestein
03.2020,2020-03-11,23,"16,00",16000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,19/20,Maximilian Eggestein
12.2019,2019-12-17,23,"23,00",23000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,19/20,Maximilian Eggestein
06.2019,2019-06-05,22,"30,00",30000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Maximilian Eggestein
03.2019,2019-03-06,22,"25,00",25000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Maximilian Eggestein
12.2018,2018-12-18,22,"20,00",20000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Maximilian Eggestein
10.2018,2018-10-22,21,"17,00",17000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Maximilian Eggestein
06.2018,2018-06-05,21,"10,00",10000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,17/18,Maximilian Eggestein
04.2018,2018-04-04,21,"7,00",7000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,17/18,Maximilian Eggestein
12.2017,2017-12-28,21,"4,00",4000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,17/18,Maximilian Eggestein
06.2017,2017-06-19,20,"2,00",2000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Maximilian Eggestein
03.2017,2017-03-22,20,"1,00",1000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Maximilian Eggestein
02.2017,2017-02-07,20,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Maximilian Eggestein
07.2016,2016-07-22,19,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Maximilian Eggestein
02.2016,2016-02-15,19,450,450000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,15/16,Maximilian Eggestein
10.2015,2015-10-29,18,450,450000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,15/16,Maximilian Eggestein
07.2015,2015-07-01,18,300,300000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,15/16,Maximilian Eggestein
02.2015,2015-02-04,18,250,250000,€,Tsd.,87,SV Werder Bremen II,W. Bremen II,https://tmssl.akamaized.net/images/wappen/medium/87.png?lm=1403082298,14/15,Maximilian Eggestein
08.2014,2014-08-18,17,75,75000,€,Tsd.,87,SV Werder Bremen II,W. Bremen II,https://tmssl.akamaized.net/images/wappen/medium/87.png?lm=1403082298,14/15,Maximilian Eggestein
