date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"6,00",6000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Nadiem Amiri
09.2022,2022-09-21,25,"6,00",6000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Nadiem Amiri
06.2022,2022-06-07,25,"8,00",8000000,€,Mio.,252,Genua CFC,Genua CFC,https://tmssl.akamaized.net/images/wappen/medium/252.png?lm=1655305880,21/22,Nadiem Amiri
03.2022,2022-03-15,25,"9,00",9000000,€,Mio.,252,Genua CFC,Genua CFC,https://tmssl.akamaized.net/images/wappen/medium/252.png?lm=1655305880,21/22,Nadiem Amiri
12.2021,2021-12-22,25,"11,00",11000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Nadiem Amiri
10.2021,2021-10-07,24,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Nadiem Amiri
06.2021,2021-06-09,24,"18,00",18000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Nadiem Amiri
02.2021,2021-02-10,24,"22,00",22000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Nadiem Amiri
04.2020,2020-04-08,23,"16,00",16000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Nadiem Amiri
12.2019,2019-12-17,23,"20,00",20000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Nadiem Amiri
10.2019,2019-10-02,22,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Nadiem Amiri
06.2019,2019-06-05,22,"17,00",17000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Nadiem Amiri
12.2018,2018-12-18,22,"17,00",17000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Nadiem Amiri
06.2018,2018-06-05,21,"17,00",17000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Nadiem Amiri
12.2017,2017-12-28,21,"15,00",15000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Nadiem Amiri
06.2017,2017-06-19,20,"10,00",10000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Nadiem Amiri
02.2017,2017-02-07,20,"7,00",7000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Nadiem Amiri
07.2016,2016-07-22,19,"4,00",4000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Nadiem Amiri
02.2016,2016-02-15,19,"1,50",1500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,15/16,Nadiem Amiri
07.2015,2015-07-01,18,"1,00",1000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,15/16,Nadiem Amiri
02.2015,2015-02-04,18,350,350000,€,Tsd.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,14/15,Nadiem Amiri
09.2014,2014-09-08,17,100,100000,€,Tsd.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,14/15,Nadiem Amiri
