date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
10.2022,2022-10-27,23,400,400000,€,Tsd.,1008,HJK Helsinki,HJK Helsinki,https://tmssl.akamaized.net/images/wappen/medium/1008.png?lm=1653665348,22/23,Nassim Boujellab
07.2022,2022-07-25,23,350,350000,€,Tsd.,1008,HJK Helsinki,HJK Helsinki,https://tmssl.akamaized.net/images/wappen/medium/1008.png?lm=1653665348,22/23,Nassim Boujellab
04.2022,2022-04-15,22,400,400000,€,Tsd.,1008,HJK Helsinki,HJK Helsinki,https://tmssl.akamaized.net/images/wappen/medium/1008.png?lm=1653665348,21/22,Nassim Boujellab
12.2021,2021-12-15,22,500,500000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,21/22,Nassim Boujellab
10.2021,2021-10-13,22,800,800000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,21/22,Nassim Boujellab
06.2021,2021-06-09,21,"1,20",1200000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,20/21,Nassim Boujellab
02.2021,2021-02-10,21,"1,20",1200000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,20/21,Nassim Boujellab
07.2020,2020-07-08,21,"1,00",1000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,20/21,Nassim Boujellab
04.2020,2020-04-08,20,900,900000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,19/20,Nassim Boujellab
12.2019,2019-12-17,20,"1,00",1000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,19/20,Nassim Boujellab
06.2019,2019-06-05,19,"1,50",1500000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,18/19,Nassim Boujellab
