date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,32,"2,50",2500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,22/23,Nicolas Höfler
06.2022,2022-06-09,32,"2,50",2500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Nicolas Höfler
12.2021,2021-12-22,31,"2,50",2500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Nicolas Höfler
06.2021,2021-06-09,31,"2,50",2500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Nicolas Höfler
02.2021,2021-02-10,30,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Nicolas Höfler
04.2020,2020-04-08,30,"3,50",3500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Nicolas Höfler
12.2019,2019-12-17,29,"4,50",4500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Nicolas Höfler
06.2019,2019-06-05,29,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Nicolas Höfler
12.2018,2018-12-18,28,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Nicolas Höfler
06.2018,2018-06-05,28,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,17/18,Nicolas Höfler
12.2017,2017-12-28,27,"3,50",3500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,17/18,Nicolas Höfler
06.2017,2017-06-19,27,"3,50",3500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,16/17,Nicolas Höfler
02.2017,2017-02-07,26,"2,50",2500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,16/17,Nicolas Höfler
10.2016,2016-10-13,26,"2,00",2000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,16/17,Nicolas Höfler
07.2016,2016-07-22,26,"1,50",1500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,16/17,Nicolas Höfler
02.2016,2016-02-11,25,"1,20",1200000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,15/16,Nicolas Höfler
07.2015,2015-07-01,25,"1,00",1000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,15/16,Nicolas Höfler
02.2015,2015-02-04,24,"1,00",1000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,14/15,Nicolas Höfler
07.2014,2014-07-10,24,750,750000,€,Tsd.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,14/15,Nicolas Höfler
02.2014,2014-02-12,23,"1,00",1000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,13/14,Nicolas Höfler
06.2013,2013-06-29,23,800,800000,€,Tsd.,94,FC Erzgebirge Aue,Erzgebirge Aue,https://tmssl.akamaized.net/images/wappen/medium/94.png?lm=1402669560,12/13,Nicolas Höfler
01.2013,2013-01-04,22,700,700000,€,Tsd.,94,FC Erzgebirge Aue,Erzgebirge Aue,https://tmssl.akamaized.net/images/wappen/medium/94.png?lm=1402669560,12/13,Nicolas Höfler
11.2012,2012-11-14,22,500,500000,€,Tsd.,94,FC Erzgebirge Aue,Erzgebirge Aue,https://tmssl.akamaized.net/images/wappen/medium/94.png?lm=1402669560,12/13,Nicolas Höfler
06.2012,2012-06-24,22,350,350000,€,Tsd.,94,FC Erzgebirge Aue,Erzgebirge Aue,https://tmssl.akamaized.net/images/wappen/medium/94.png?lm=1402669560,11/12,Nicolas Höfler
01.2012,2012-01-16,21,300,300000,€,Tsd.,94,FC Erzgebirge Aue,Erzgebirge Aue,https://tmssl.akamaized.net/images/wappen/medium/94.png?lm=1402669560,11/12,Nicolas Höfler
06.2011,2011-06-29,21,150,150000,€,Tsd.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,10/11,Nicolas Höfler
01.2011,2011-01-12,20,150,150000,€,Tsd.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,10/11,Nicolas Höfler
08.2010,2010-08-29,20,150,150000,€,Tsd.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,10/11,Nicolas Höfler
01.2010,2010-01-08,19,150,150000,€,Tsd.,245,SC Freiburg II,SC Freiburg II,https://tmssl.akamaized.net/images/wappen/medium/245.png?lm=1594709898,09/10,Nicolas Höfler
06.2009,2009-06-18,19,100,100000,€,Tsd.,4042,SC Freiburg U19,SC Freiburg U19,https://tmssl.akamaized.net/images/wappen/medium/4042.png?lm=1594709898,08/09,Nicolas Höfler
01.2009,2009-01-22,18,50,50000,€,Tsd.,4042,SC Freiburg U19,SC Freiburg U19,https://tmssl.akamaized.net/images/wappen/medium/4042.png?lm=1594709898,08/09,Nicolas Höfler
