date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"10,00",10000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Niklas Dorsch
06.2022,2022-06-09,24,"10,00",10000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Niklas Dorsch
12.2021,2021-12-22,23,"10,00",10000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Niklas Dorsch
06.2021,2021-06-07,23,"8,00",8000000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,20/21,Niklas Dorsch
01.2021,2021-01-04,22,"7,00",7000000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,20/21,Niklas Dorsch
10.2020,2020-10-16,22,"6,00",6000000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,20/21,Niklas Dorsch
07.2020,2020-07-15,22,"6,00",6000000,€,Mio.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,20/21,Niklas Dorsch
04.2020,2020-04-08,22,"4,50",4500000,€,Mio.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,19/20,Niklas Dorsch
12.2019,2019-12-13,21,"5,00",5000000,€,Mio.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,19/20,Niklas Dorsch
09.2019,2019-09-25,21,"4,00",4000000,€,Mio.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,19/20,Niklas Dorsch
06.2019,2019-06-12,21,"3,00",3000000,€,Mio.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,18/19,Niklas Dorsch
01.2019,2019-01-08,20,"1,50",1500000,€,Mio.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,18/19,Niklas Dorsch
10.2018,2018-10-16,20,700,700000,€,Tsd.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,18/19,Niklas Dorsch
06.2018,2018-06-05,20,400,400000,€,Tsd.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,17/18,Niklas Dorsch
12.2017,2017-12-28,19,200,200000,€,Tsd.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,17/18,Niklas Dorsch
06.2017,2017-06-19,19,200,200000,€,Tsd.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,16/17,Niklas Dorsch
02.2017,2017-02-07,19,200,200000,€,Tsd.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,16/17,Niklas Dorsch
07.2016,2016-07-22,18,200,200000,€,Tsd.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,16/17,Niklas Dorsch
08.2015,2015-08-07,17,75,75000,€,Tsd.,28,FC Bayern München II,B. München II,https://tmssl.akamaized.net/images/wappen/medium/28.png?lm=1498251238,15/16,Niklas Dorsch
