date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"2,20",2200000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,22/23,Paul Seguin
06.2022,2022-06-09,27,"2,20",2200000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,21/22,Paul Seguin
12.2021,2021-12-22,26,"2,20",2200000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,21/22,Paul Seguin
06.2021,2021-06-16,26,"2,50",2500000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Paul Seguin
02.2021,2021-02-08,25,"2,00",2000000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Paul Seguin
11.2020,2020-11-18,25,"2,00",2000000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Paul Seguin
04.2020,2020-04-08,25,950,950000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,19/20,Paul Seguin
04.2020,2020-04-02,25,"1,20",1200000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,19/20,Paul Seguin
12.2019,2019-12-13,24,"1,00",1000000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,19/20,Paul Seguin
06.2019,2019-06-12,24,"1,00",1000000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,18/19,Paul Seguin
12.2018,2018-12-18,23,750,750000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,18/19,Paul Seguin
06.2018,2018-06-19,23,"1,00",1000000,€,Mio.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,17/18,Paul Seguin
03.2018,2018-03-21,22,"1,50",1500000,€,Mio.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,17/18,Paul Seguin
01.2018,2018-01-22,22,"1,75",1750000,€,Mio.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,17/18,Paul Seguin
06.2017,2017-06-19,22,"2,00",2000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,16/17,Paul Seguin
02.2017,2017-02-07,21,"2,00",2000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,16/17,Paul Seguin
10.2016,2016-10-13,21,750,750000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,16/17,Paul Seguin
07.2016,2016-07-22,21,300,300000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,16/17,Paul Seguin
02.2016,2016-02-15,20,200,200000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,15/16,Paul Seguin
07.2015,2015-07-01,20,200,200000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,15/16,Paul Seguin
03.2015,2015-03-29,20,200,200000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,14/15,Paul Seguin
02.2015,2015-02-04,19,100,100000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,14/15,Paul Seguin
07.2014,2014-07-10,19,100,100000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,14/15,Paul Seguin
01.2014,2014-01-30,18,100,100000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,13/14,Paul Seguin
