date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-07,27,"2,00",2000000,€,Mio.,683,Olympiakos Piräus,Olymp. Piräus,https://tmssl.akamaized.net/images/wappen/medium/683.png?lm=1447787802,22/23,Pierre Kunde
06.2022,2022-06-09,26,"2,00",2000000,€,Mio.,683,Olympiakos Piräus,Olymp. Piräus,https://tmssl.akamaized.net/images/wappen/medium/683.png?lm=1447787802,21/22,Pierre Kunde
11.2021,2021-11-01,26,"3,00",3000000,€,Mio.,683,Olympiakos Piräus,Olymp. Piräus,https://tmssl.akamaized.net/images/wappen/medium/683.png?lm=1447787802,21/22,Pierre Kunde
06.2021,2021-06-09,25,"3,50",3500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Pierre Kunde
02.2021,2021-02-10,25,"5,00",5000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Pierre Kunde
11.2020,2020-11-26,25,"6,00",6000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Pierre Kunde
04.2020,2020-04-08,24,"8,00",8000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Pierre Kunde
12.2019,2019-12-17,24,"10,00",10000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Pierre Kunde
06.2019,2019-06-05,23,"10,00",10000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Pierre Kunde
12.2018,2018-12-18,23,"9,00",9000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Pierre Kunde
08.2018,2018-08-22,23,"6,50",6500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Pierre Kunde
05.2018,2018-05-30,22,"2,00",2000000,€,Mio.,16795,FC Granada,FC Granada,https://tmssl.akamaized.net/images/wappen/medium/16795.png?lm=1620472393,17/18,Pierre Kunde
03.2018,2018-03-28,22,"2,00",2000000,€,Mio.,16795,FC Granada,FC Granada,https://tmssl.akamaized.net/images/wappen/medium/16795.png?lm=1620472393,17/18,Pierre Kunde
03.2018,2018-03-02,22,"1,00",1000000,€,Mio.,16795,FC Granada,FC Granada,https://tmssl.akamaized.net/images/wappen/medium/16795.png?lm=1620472393,17/18,Pierre Kunde
01.2018,2018-01-01,22,600,600000,€,Tsd.,16795,FC Granada,FC Granada,https://tmssl.akamaized.net/images/wappen/medium/16795.png?lm=1620472393,17/18,Pierre Kunde
08.2017,2017-08-17,22,400,400000,€,Tsd.,16795,FC Granada,FC Granada,https://tmssl.akamaized.net/images/wappen/medium/16795.png?lm=1620472393,17/18,Pierre Kunde
02.2017,2017-02-02,21,250,250000,€,Tsd.,29095,Extremadura UD (-2022),Extremadura,https://tmssl.akamaized.net/images/wappen/medium/29095.png?lm=1540553871,16/17,Pierre Kunde
10.2016,2016-10-27,21,250,250000,€,Tsd.,29095,Extremadura UD (-2022),Extremadura,https://tmssl.akamaized.net/images/wappen/medium/29095.png?lm=1540553871,16/17,Pierre Kunde
08.2016,2016-08-01,21,150,150000,€,Tsd.,29095,Extremadura UD (-2022),Extremadura,https://tmssl.akamaized.net/images/wappen/medium/29095.png?lm=1540553871,16/17,Pierre Kunde
