date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"8,00",8000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,22/23,Rani Khedira
06.2022,2022-06-09,28,"6,00",6000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Rani Khedira
12.2021,2021-12-22,27,"5,50",5500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Rani Khedira
06.2021,2021-06-09,27,"5,00",5000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Rani Khedira
02.2021,2021-02-10,27,"6,00",6000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Rani Khedira
04.2020,2020-04-08,26,"8,00",8000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Rani Khedira
12.2019,2019-12-17,25,"10,00",10000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Rani Khedira
06.2019,2019-06-05,25,"10,00",10000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,18/19,Rani Khedira
12.2018,2018-12-18,24,"6,00",6000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,18/19,Rani Khedira
06.2018,2018-06-05,24,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,17/18,Rani Khedira
12.2017,2017-12-28,23,"2,50",2500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,17/18,Rani Khedira
10.2017,2017-10-18,23,"1,50",1500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,17/18,Rani Khedira
06.2017,2017-06-19,23,750,750000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,16/17,Rani Khedira
02.2017,2017-02-07,23,750,750000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,16/17,Rani Khedira
07.2016,2016-07-22,22,900,900000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,16/17,Rani Khedira
02.2016,2016-02-11,22,900,900000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,15/16,Rani Khedira
07.2015,2015-07-01,21,"1,30",1300000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,15/16,Rani Khedira
01.2015,2015-01-13,20,"1,30",1300000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,14/15,Rani Khedira
07.2014,2014-07-06,20,900,900000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,14/15,Rani Khedira
02.2014,2014-02-12,20,750,750000,€,Tsd.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,13/14,Rani Khedira
06.2013,2013-06-30,19,300,300000,€,Tsd.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,12/13,Rani Khedira
01.2013,2013-01-13,18,300,300000,€,Tsd.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,12/13,Rani Khedira
03.2012,2012-03-05,18,300,300000,€,Tsd.,2517,VfB Stuttgart U19,Stuttgart U19,https://tmssl.akamaized.net/images/wappen/medium/2517.png?lm=1656582657,11/12,Rani Khedira
02.2012,2012-02-02,18,100,100000,€,Tsd.,2517,VfB Stuttgart U19,Stuttgart U19,https://tmssl.akamaized.net/images/wappen/medium/2517.png?lm=1656582657,11/12,Rani Khedira
