date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"11,00",11000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Robert Andrich
06.2022,2022-06-09,27,"13,00",13000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Robert Andrich
03.2022,2022-03-24,27,"13,00",13000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Robert Andrich
12.2021,2021-12-22,27,"11,00",11000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Robert Andrich
06.2021,2021-06-09,26,"7,00",7000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Robert Andrich
02.2021,2021-02-10,26,"6,00",6000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Robert Andrich
07.2020,2020-07-08,25,"4,00",4000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Robert Andrich
04.2020,2020-04-08,25,"2,40",2400000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Robert Andrich
03.2020,2020-03-11,25,"3,00",3000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Robert Andrich
12.2019,2019-12-17,25,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Robert Andrich
10.2019,2019-10-02,25,"1,00",1000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Robert Andrich
06.2019,2019-06-12,24,600,600000,€,Tsd.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,18/19,Robert Andrich
01.2019,2019-01-08,24,450,450000,€,Tsd.,2036,1.FC Heidenheim 1846,1.FC Heidenheim,https://tmssl.akamaized.net/images/wappen/medium/2036.png?lm=1490215754,18/19,Robert Andrich
06.2018,2018-06-08,23,350,350000,€,Tsd.,108,SV Wehen Wiesbaden,Wehen Wiesbaden,https://tmssl.akamaized.net/images/wappen/medium/108.png?lm=1465643808,17/18,Robert Andrich
01.2018,2018-01-19,23,350,350000,€,Tsd.,108,SV Wehen Wiesbaden,Wehen Wiesbaden,https://tmssl.akamaized.net/images/wappen/medium/108.png?lm=1465643808,17/18,Robert Andrich
06.2017,2017-06-14,22,300,300000,€,Tsd.,108,SV Wehen Wiesbaden,Wehen Wiesbaden,https://tmssl.akamaized.net/images/wappen/medium/108.png?lm=1465643808,16/17,Robert Andrich
02.2017,2017-02-10,22,275,275000,€,Tsd.,108,SV Wehen Wiesbaden,Wehen Wiesbaden,https://tmssl.akamaized.net/images/wappen/medium/108.png?lm=1465643808,16/17,Robert Andrich
10.2016,2016-10-08,22,275,275000,€,Tsd.,108,SV Wehen Wiesbaden,Wehen Wiesbaden,https://tmssl.akamaized.net/images/wappen/medium/108.png?lm=1465643808,16/17,Robert Andrich
07.2016,2016-07-14,21,200,200000,€,Tsd.,108,SV Wehen Wiesbaden,Wehen Wiesbaden,https://tmssl.akamaized.net/images/wappen/medium/108.png?lm=1465643808,16/17,Robert Andrich
02.2016,2016-02-08,21,175,175000,€,Tsd.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,15/16,Robert Andrich
07.2015,2015-07-01,20,150,150000,€,Tsd.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,15/16,Robert Andrich
03.2015,2015-03-07,20,150,150000,€,Tsd.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,14/15,Robert Andrich
07.2014,2014-07-17,19,125,125000,€,Tsd.,45,Hertha BSC II,Hertha BSC II,https://tmssl.akamaized.net/images/wappen/medium/45.png?lm=1656580875,14/15,Robert Andrich
06.2013,2013-06-29,18,150,150000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,12/13,Robert Andrich
04.2013,2013-04-12,18,150,150000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,12/13,Robert Andrich
01.2013,2013-01-14,18,25,25000,€,Tsd.,45,Hertha BSC II,Hertha BSC II,https://tmssl.akamaized.net/images/wappen/medium/45.png?lm=1656580875,12/13,Robert Andrich
