date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,20,"30,00",30000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,22/23,Ryan Gravenberch
06.2022,2022-06-08,20,"35,00",35000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,21/22,Ryan Gravenberch
01.2022,2022-01-05,19,"35,00",35000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,21/22,Ryan Gravenberch
05.2021,2021-05-27,19,"33,00",33000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,20/21,Ryan Gravenberch
03.2021,2021-03-09,18,"28,00",28000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,20/21,Ryan Gravenberch
01.2021,2021-01-06,18,"22,00",22000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,20/21,Ryan Gravenberch
10.2020,2020-10-14,18,"11,00",11000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,20/21,Ryan Gravenberch
04.2020,2020-04-08,17,"11,00",11000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,19/20,Ryan Gravenberch
02.2020,2020-02-11,17,"12,00",12000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,19/20,Ryan Gravenberch
12.2019,2019-12-18,17,"5,00",5000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,19/20,Ryan Gravenberch
06.2019,2019-06-12,17,"5,00",5000000,€,Mio.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,18/19,Ryan Gravenberch
01.2019,2019-01-21,16,"5,00",5000000,€,Mio.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,18/19,Ryan Gravenberch
12.2018,2018-12-28,16,"5,00",5000000,€,Mio.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,18/19,Ryan Gravenberch
10.2018,2018-10-04,16,"5,00",5000000,€,Mio.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,18/19,Ryan Gravenberch
