date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"17,00",17000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Salih Özcan
06.2022,2022-06-09,24,"13,00",13000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Salih Özcan
03.2022,2022-03-24,24,"7,00",7000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Salih Özcan
12.2021,2021-12-22,23,"4,00",4000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Salih Özcan
06.2021,2021-06-09,23,"3,50",3500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,20/21,Salih Özcan
02.2021,2021-02-10,23,"2,70",2700000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,20/21,Salih Özcan
04.2020,2020-04-08,22,"2,70",2700000,€,Mio.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,19/20,Salih Özcan
04.2020,2020-04-02,22,"3,00",3000000,€,Mio.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,19/20,Salih Özcan
12.2019,2019-12-13,21,"2,50",2500000,€,Mio.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,19/20,Salih Özcan
06.2019,2019-06-12,21,"2,00",2000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,18/19,Salih Özcan
03.2019,2019-03-13,21,"2,50",2500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,18/19,Salih Özcan
01.2019,2019-01-08,20,"3,00",3000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,18/19,Salih Özcan
06.2018,2018-06-05,20,"3,50",3500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,17/18,Salih Özcan
04.2018,2018-04-04,20,"3,50",3500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,17/18,Salih Özcan
12.2017,2017-12-28,19,"2,50",2500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,17/18,Salih Özcan
06.2017,2017-06-19,19,750,750000,€,Tsd.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,16/17,Salih Özcan
02.2017,2017-02-07,19,750,750000,€,Tsd.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,16/17,Salih Özcan
10.2016,2016-10-13,18,500,500000,€,Tsd.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,16/17,Salih Özcan
07.2016,2016-07-15,18,100,100000,€,Tsd.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,16/17,Salih Özcan
