date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,32,"2,50",2500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,22/23,Sebastian Rode
06.2022,2022-06-09,31,"2,50",2500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Sebastian Rode
12.2021,2021-12-22,31,"2,50",2500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Sebastian Rode
06.2021,2021-06-09,30,"4,00",4000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Sebastian Rode
02.2021,2021-02-10,30,"4,00",4000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Sebastian Rode
07.2020,2020-07-08,29,"5,00",5000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Sebastian Rode
04.2020,2020-04-08,29,"4,00",4000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Sebastian Rode
12.2019,2019-12-17,29,"5,00",5000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Sebastian Rode
10.2019,2019-10-02,28,"5,00",5000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Sebastian Rode
06.2019,2019-06-05,28,"3,00",3000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Sebastian Rode
03.2019,2019-03-06,28,"3,00",3000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Sebastian Rode
12.2018,2018-12-18,28,"1,50",1500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Sebastian Rode
06.2018,2018-06-05,27,"3,00",3000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Sebastian Rode
12.2017,2017-12-28,27,"3,50",3500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Sebastian Rode
10.2017,2017-10-18,27,"4,50",4500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Sebastian Rode
06.2017,2017-06-19,26,"6,00",6000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Sebastian Rode
02.2017,2017-02-07,26,"8,00",8000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Sebastian Rode
07.2016,2016-07-22,25,"10,00",10000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Sebastian Rode
02.2016,2016-02-15,25,"8,00",8000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,15/16,Sebastian Rode
07.2015,2015-07-01,24,"10,00",10000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,15/16,Sebastian Rode
02.2015,2015-02-04,24,"9,00",9000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,14/15,Sebastian Rode
07.2014,2014-07-10,23,"9,00",9000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,14/15,Sebastian Rode
