date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-07,31,"3,00",3000000,€,Mio.,368,FC Sevilla,FC Sevilla,https://tmssl.akamaized.net/images/wappen/medium/368.png?lm=1408655455,22/23,Thomas Delaney
06.2022,2022-06-03,30,"7,00",7000000,€,Mio.,368,FC Sevilla,FC Sevilla,https://tmssl.akamaized.net/images/wappen/medium/368.png?lm=1408655455,21/22,Thomas Delaney
12.2021,2021-12-30,30,"8,00",8000000,€,Mio.,368,FC Sevilla,FC Sevilla,https://tmssl.akamaized.net/images/wappen/medium/368.png?lm=1408655455,21/22,Thomas Delaney
10.2021,2021-10-13,30,"9,00",9000000,€,Mio.,368,FC Sevilla,FC Sevilla,https://tmssl.akamaized.net/images/wappen/medium/368.png?lm=1408655455,21/22,Thomas Delaney
05.2021,2021-05-26,29,"15,00",15000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Thomas Delaney
02.2021,2021-02-10,29,"17,50",17500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Thomas Delaney
04.2020,2020-04-08,28,"17,50",17500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Thomas Delaney
12.2019,2019-12-17,28,"22,00",22000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Thomas Delaney
06.2019,2019-06-05,27,"27,00",27000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Thomas Delaney
12.2018,2018-12-18,27,"27,00",27000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Thomas Delaney
07.2018,2018-07-16,26,"22,00",22000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Thomas Delaney
06.2018,2018-06-05,26,"12,00",12000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,17/18,Thomas Delaney
12.2017,2017-12-28,26,"7,50",7500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,17/18,Thomas Delaney
06.2017,2017-06-19,25,"6,00",6000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Thomas Delaney
03.2017,2017-03-22,25,"4,50",4500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Thomas Delaney
12.2016,2016-12-12,25,"3,50",3500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,16/17,Thomas Delaney
08.2016,2016-08-12,24,"2,00",2000000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,16/17,Thomas Delaney
01.2016,2016-01-21,24,"1,50",1500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,15/16,Thomas Delaney
09.2015,2015-09-02,23,"1,50",1500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,15/16,Thomas Delaney
02.2015,2015-02-06,23,"1,50",1500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,14/15,Thomas Delaney
08.2014,2014-08-31,22,"1,50",1500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,14/15,Thomas Delaney
02.2014,2014-02-10,22,"1,50",1500000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,13/14,Thomas Delaney
06.2013,2013-06-17,21,"1,00",1000000,€,Mio.,190,FC Kopenhagen,FC Kopenhagen,https://tmssl.akamaized.net/images/wappen/medium/190.png?lm=1518117389,12/13,Thomas Delaney
