date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,32,700,700000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Tobias Strobl
06.2022,2022-06-09,32,900,900000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Tobias Strobl
12.2021,2021-12-22,31,"1,00",1000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Tobias Strobl
06.2021,2021-06-09,31,"2,00",2000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Tobias Strobl
02.2021,2021-02-10,30,"3,00",3000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Tobias Strobl
04.2020,2020-04-08,29,"3,50",3500000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,19/20,Tobias Strobl
12.2019,2019-12-17,29,"4,50",4500000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,19/20,Tobias Strobl
06.2019,2019-06-05,29,"7,00",7000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Tobias Strobl
03.2019,2019-03-06,28,"8,00",8000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Tobias Strobl
12.2018,2018-12-18,28,"6,50",6500000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Tobias Strobl
10.2018,2018-10-22,28,"4,00",4000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Tobias Strobl
06.2018,2018-06-05,28,"2,00",2000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Tobias Strobl
12.2017,2017-12-28,27,"2,00",2000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Tobias Strobl
06.2017,2017-06-19,27,"3,00",3000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Tobias Strobl
02.2017,2017-02-07,26,"3,00",3000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Tobias Strobl
10.2016,2016-10-13,26,"3,00",3000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Tobias Strobl
07.2016,2016-07-22,26,"2,00",2000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Tobias Strobl
