date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
10.2022,2022-10-27,30,"1,00",1000000,€,Mio.,868,MKE Ankaragücü,Ankaragücü,https://tmssl.akamaized.net/images/wappen/medium/868.png?lm=1582635029,22/23,Tolga Cigerci
06.2022,2022-06-01,30,"1,10",1100000,€,Mio.,6890,Basaksehir FK,Basaksehir,https://tmssl.akamaized.net/images/wappen/medium/6890.png?lm=1521449959,21/22,Tolga Cigerci
03.2022,2022-03-31,30,900,900000,€,Tsd.,6890,Basaksehir FK,Basaksehir,https://tmssl.akamaized.net/images/wappen/medium/6890.png?lm=1521449959,21/22,Tolga Cigerci
01.2022,2022-01-04,29,750,750000,€,Tsd.,6890,Basaksehir FK,Basaksehir,https://tmssl.akamaized.net/images/wappen/medium/6890.png?lm=1521449959,21/22,Tolga Cigerci
10.2021,2021-10-12,29,450,450000,€,Tsd.,6890,Basaksehir FK,Basaksehir,https://tmssl.akamaized.net/images/wappen/medium/6890.png?lm=1521449959,21/22,Tolga Cigerci
05.2021,2021-05-21,29,600,600000,€,Tsd.,6890,Basaksehir FK,Basaksehir,https://tmssl.akamaized.net/images/wappen/medium/6890.png?lm=1521449959,20/21,Tolga Cigerci
03.2021,2021-03-16,28,500,500000,€,Tsd.,6890,Basaksehir FK,Basaksehir,https://tmssl.akamaized.net/images/wappen/medium/6890.png?lm=1521449959,20/21,Tolga Cigerci
12.2020,2020-12-23,28,750,750000,€,Tsd.,36,Fenerbahce,Fenerbahce,https://tmssl.akamaized.net/images/wappen/medium/36.png?lm=1406739123,20/21,Tolga Cigerci
08.2020,2020-08-04,28,"1,20",1200000,€,Mio.,36,Fenerbahce,Fenerbahce,https://tmssl.akamaized.net/images/wappen/medium/36.png?lm=1406739123,20/21,Tolga Cigerci
04.2020,2020-04-08,28,"1,20",1200000,€,Mio.,36,Fenerbahce,Fenerbahce,https://tmssl.akamaized.net/images/wappen/medium/36.png?lm=1406739123,19/20,Tolga Cigerci
01.2020,2020-01-03,27,"1,50",1500000,€,Mio.,36,Fenerbahce,Fenerbahce,https://tmssl.akamaized.net/images/wappen/medium/36.png?lm=1406739123,19/20,Tolga Cigerci
10.2019,2019-10-04,27,"1,00",1000000,€,Mio.,36,Fenerbahce,Fenerbahce,https://tmssl.akamaized.net/images/wappen/medium/36.png?lm=1406739123,19/20,Tolga Cigerci
06.2019,2019-06-04,27,600,600000,€,Tsd.,36,Fenerbahce,Fenerbahce,https://tmssl.akamaized.net/images/wappen/medium/36.png?lm=1406739123,18/19,Tolga Cigerci
01.2019,2019-01-04,26,"1,25",1250000,€,Mio.,36,Fenerbahce,Fenerbahce,https://tmssl.akamaized.net/images/wappen/medium/36.png?lm=1406739123,18/19,Tolga Cigerci
