date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,29,"6,50",6500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Wataru Endo
06.2022,2022-06-09,29,"8,00",8000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Wataru Endo
12.2021,2021-12-22,28,"10,00",10000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Wataru Endo
06.2021,2021-06-09,28,"10,00",10000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Wataru Endo
02.2021,2021-02-10,28,"8,00",8000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Wataru Endo
11.2020,2020-11-26,27,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Wataru Endo
07.2020,2020-07-15,27,"2,50",2500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Wataru Endo
04.2020,2020-04-08,27,"1,60",1600000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Wataru Endo
12.2019,2019-12-13,26,"2,00",2000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Wataru Endo
06.2019,2019-06-10,26,"2,00",2000000,€,Mio.,475,VV St. Truiden,VV St. Truiden,https://tmssl.akamaized.net/images/wappen/medium/475.png?lm=1448474474,18/19,Wataru Endo
12.2018,2018-12-27,25,"1,50",1500000,€,Mio.,475,VV St. Truiden,VV St. Truiden,https://tmssl.akamaized.net/images/wappen/medium/475.png?lm=1448474474,18/19,Wataru Endo
09.2018,2018-09-11,25,"1,50",1500000,€,Mio.,475,VV St. Truiden,VV St. Truiden,https://tmssl.akamaized.net/images/wappen/medium/475.png?lm=1448474474,18/19,Wataru Endo
01.2018,2018-01-05,24,"1,45",1450000,€,Mio.,828,Urawa Red Diamonds,Urawa Reds,https://tmssl.akamaized.net/images/wappen/medium/828.png?lm=1411407092,17/18,Wataru Endo
03.2017,2017-03-25,24,"1,50",1500000,€,Mio.,828,Urawa Red Diamonds,Urawa Reds,https://tmssl.akamaized.net/images/wappen/medium/828.png?lm=1411407092,16/17,Wataru Endo
02.2016,2016-02-25,23,"1,20",1200000,€,Mio.,828,Urawa Red Diamonds,Urawa Reds,https://tmssl.akamaized.net/images/wappen/medium/828.png?lm=1411407092,15/16,Wataru Endo
07.2015,2015-07-01,22,850,850000,€,Tsd.,8457,Shonan Bellmare,Shonan Bellmare,https://tmssl.akamaized.net/images/wappen/medium/8457.png?lm=1415710258,15/16,Wataru Endo
07.2013,2013-07-05,20,600,600000,€,Tsd.,8457,Shonan Bellmare,Shonan Bellmare,https://tmssl.akamaized.net/images/wappen/medium/8457.png?lm=1415710258,13/14,Wataru Endo
04.2012,2012-04-19,19,350,350000,€,Tsd.,8457,Shonan Bellmare,Shonan Bellmare,https://tmssl.akamaized.net/images/wappen/medium/8457.png?lm=1415710258,11/12,Wataru Endo
02.2012,2012-02-12,19,700,700000,€,Tsd.,8457,Shonan Bellmare,Shonan Bellmare,https://tmssl.akamaized.net/images/wappen/medium/8457.png?lm=1415710258,11/12,Wataru Endo
