date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-04,29,"3,00",3000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,22/23,Éder Balanta
09.2022,2022-09-07,29,"3,70",3700000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,22/23,Éder Balanta
04.2022,2022-04-12,29,"5,00",5000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,21/22,Éder Balanta
01.2022,2022-01-06,28,"6,50",6500000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,21/22,Éder Balanta
10.2021,2021-10-06,28,"6,00",6000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,21/22,Éder Balanta
06.2021,2021-06-07,28,"4,50",4500000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,20/21,Éder Balanta
10.2020,2020-10-16,27,"4,00",4000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,20/21,Éder Balanta
04.2020,2020-04-08,27,"4,80",4800000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,19/20,Éder Balanta
03.2020,2020-03-30,27,"6,00",6000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,19/20,Éder Balanta
12.2019,2019-12-13,26,"4,50",4500000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,19/20,Éder Balanta
06.2019,2019-06-04,26,"4,50",4500000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,18/19,Éder Balanta
04.2019,2019-04-15,26,"4,50",4500000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,18/19,Éder Balanta
01.2019,2019-01-21,25,"4,50",4500000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,18/19,Éder Balanta
07.2018,2018-07-12,25,"4,50",4500000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,18/19,Éder Balanta
04.2018,2018-04-24,25,"3,50",3500000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,17/18,Éder Balanta
01.2018,2018-01-08,24,"3,50",3500000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,17/18,Éder Balanta
07.2017,2017-07-12,24,"2,25",2250000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,17/18,Éder Balanta
04.2017,2017-04-14,24,"3,00",3000000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,16/17,Éder Balanta
12.2016,2016-12-20,23,"4,00",4000000,€,Mio.,26,FC Basel 1893,FC Basel,https://tmssl.akamaized.net/images/wappen/medium/26.png?lm=1656417702,16/17,Éder Balanta
02.2016,2016-02-06,22,"4,00",4000000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,15/16,Éder Balanta
07.2015,2015-07-14,22,"5,00",5000000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,15/16,Éder Balanta
01.2015,2015-01-10,21,"6,00",6000000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,14/15,Éder Balanta
02.2014,2014-02-10,20,"3,00",3000000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,13/14,Éder Balanta
06.2013,2013-06-30,20,"1,50",1500000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,12/13,Éder Balanta
06.2013,2013-06-22,20,200,200000,€,Tsd.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,12/13,Éder Balanta
