,date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name,normalized MV
0,11.2022,09/11/2022,18,300,300000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Aaron Zehnter,1
1,7.2022,05/07/2022,17,300,300000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Aaron Zehnter,1
2,11.2022,09/11/2022,25,7,,,,,,,,,,
3,6.2022,09/06/2022,25,5,,,,,,,,,,
4,12.2021,22/12/2021,24,5,,,,,,,,,,
5,6.2021,10/06/2021,24,4,,,,,,,,,,
6,1.2021,05/01/2021,23,3,,,,,,,,,,
7,11.202,26/11/2020,23,4,,,,,,,,,,
8,9.202,16/09/2020,23,7,,,,,,,,,,
9,4.202,08/04/2020,22,10,,,,,,,,,,
10,3.202,11/03/2020,22,13,,,,,,,,,,
11,12.2019,17/12/2019,22,16,,,,,,,,,,
12,6.2019,05/06/2019,22,20,,,,,,,,,,
13,3.2019,06/03/2019,21,16,,,,,,,,,,
14,12.2018,18/12/2018,21,12,,,,,,,,,,
15,8.2018,22/08/2018,21,10,,,,,,,,,,
16,5.2018,30/05/2018,21,12,,,,,,,,,,
17,3.2018,22/03/2018,20,20,,,,,,,,,,
18,1.2018,01/01/2018,20,15,,,,,,,,,,
19,6.2017,05/06/2017,20,10,,,,,,,,,,
20,3.2017,29/03/2017,19,6,,,,,,,,,,
21,1.2017,24/01/2017,19,3,,,,,,,,,,
22,10.2016,27/10/2016,19,500,500000,€,Tsd.,714,Espanyol Barcelona,Esp. Barcelona,https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369,16/17,Aarón Martín,0.025
23,8.2016,01/08/2016,19,300,300000,€,Tsd.,10773,Espanyol Barcelona B,Espanyol B,https://tmssl.akamaized.net/images/wappen/medium/10773.png?lm=1406966369,16/17,Aarón Martín,0.015
24,2.2016,08/02/2016,18,-,0,€,,10773,Espanyol Barcelona B,Espanyol B,https://tmssl.akamaized.net/images/wappen/medium/10773.png?lm=1406966369,15/16,Aarón Martín,0
25,11.2022,09/11/2022,26,15,,,,,,,,,,
26,5.2022,30/05/2022,26,18,,,,,,,,,,
27,3.2022,23/03/2022,25,22,,,,,,,,,,
28,12.2021,16/12/2021,25,25,,,,,,,,,,
29,6.2021,04/06/2021,25,25,,,,,,,,,,
30,10.202,15/10/2020,24,25,,,,,,,,,,
31,4.202,08/04/2020,23,28,,,,,,,,,,
32,12.2019,19/12/2019,23,35,,,,,,,,,,
33,6.2019,05/06/2019,23,35,,,,,,,,,,
34,12.2018,18/12/2018,22,33,,,,,,,,,,
35,8.2018,22/08/2018,22,25,,,,,,,,,,
36,6.2018,05/06/2018,22,12,,,,,,,,,,
37,4.2018,04/04/2018,21,10,,,,,,,,,,
38,12.2017,28/12/2017,21,8,,,,,,,,,,
39,10.2017,18/10/2017,21,4,,,,,,,,,,
40,6.2017,01/06/2017,21,1,,,,,,,,,,
41,1.2017,16/01/2017,20,1,,,,,,,,,,
42,7.2016,13/07/2016,20,1,,,,,,,,,,
43,4.2016,14/04/2016,19,1,,,,,,,,,,
44,2.2016,07/02/2016,19,800,800000,€,Tsd.,3508,SV Zulte Waregem,Zulte Waregem,https://tmssl.akamaized.net/images/wappen/medium/3508.png?lm=1420103130,15/16,Abdou Diallo,0.8
45,10.2015,22/10/2015,19,800,800000,€,Tsd.,3508,SV Zulte Waregem,Zulte Waregem,https://tmssl.akamaized.net/images/wappen/medium/3508.png?lm=1420103130,15/16,Abdou Diallo,0.8
46,6.2015,06/06/2015,19,500,500000,€,Tsd.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,14/15,Abdou Diallo,0.5
47,1.2015,14/01/2015,18,250,250000,€,Tsd.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,14/15,Abdou Diallo,0.25
48,11.2014,20/11/2014,18,150,150000,€,Tsd.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,14/15,Abdou Diallo,0.15
49,11.2022,09/11/2022,25,4,,,,,,,,,,
50,5.2022,24/05/2022,24,4,,,,,,,,,,
51,2.2022,08/02/2022,24,2,,,,,,,,,,
52,10.2021,20/10/2021,24,2,,,,,,,,,,
53,6.2021,11/06/2021,23,1,,,,,,,,,,
54,11.202,11/11/2020,23,900,900000,€,Tsd.,415,FC Toulouse,FC Toulouse,https://tmssl.akamaized.net/images/wappen/medium/415.png?lm=1530117274,20/21,Agustín Rogel,1.2
55,4.202,08/04/2020,22,1,,,,,,,,,,
56,12.2019,19/12/2019,22,1,,,,,,,,,,
57,9.2019,27/09/2019,21,2,,,,,,,,,,
58,6.2019,14/06/2019,21,1,,,,,,,,,,
59,12.2018,20/12/2018,21,1,,,,,,,,,,
60,2.2018,05/02/2018,20,750,750000,€,Tsd.,866,Club Nacional,Nacional,https://tmssl.akamaized.net/images/wappen/medium/866.png?lm=1570916104,17/18,Agustín Rogel,1
61,2.2017,22/02/2017,19,150,150000,€,Tsd.,866,Club Nacional,Nacional,https://tmssl.akamaized.net/images/wappen/medium/866.png?lm=1570916104,16/17,Agustín Rogel,0.2
62,11.2022,09/11/2022,29,2,,,,,,,,,,
63,6.2022,09/06/2022,28,2,,,,,,,,,,
64,12.2021,22/12/2021,28,2,,,,,,,,,,
65,6.2021,09/06/2021,27,2,,,,,,,,,,
66,2.2021,10/02/2021,27,1,,,,,,,,,,
67,4.202,08/04/2020,26,1,,,,,,,,,,
68,12.2019,17/12/2019,26,1,,,,,,,,,,
69,6.2019,05/06/2019,25,2,,,,,,,,,,
70,12.2018,18/12/2018,25,3,,,,,,,,,,
71,6.2018,05/06/2018,24,3,,,,,,,,,,
