,date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name,normalized MV
0,12.2022,08/12/2022,18,1,,,,,,,,,,
1,6.2022,09/06/2022,17,1,,,,,,,,,,
2,12.2021,22/12/2021,17,1,,,,,,,,,,
3,8.2021,07/08/2021,16,1,,,,,,,,,,
4,11.2022,09/11/2022,24,4,,,,,,,,,,
5,9.2022,21/09/2022,24,5,,,,,,,,,,
6,6.2022,15/06/2022,24,7,,,,,,,,,,
7,3.2022,29/03/2022,23,7,,,,,,,,,,
8,12.2021,23/12/2021,23,8,,,,,,,,,,
9,5.2021,28/05/2021,23,10,,,,,,,,,,
10,12.202,29/12/2020,22,9,,,,,,,,,,
11,10.202,19/10/2020,22,8,,,,,,,,,,
12,7.202,29/07/2020,22,7,,,,,,,,,,
13,4.202,08/04/2020,21,6,,,,,,,,,,
14,12.2019,23/12/2019,21,7,,,,,,,,,,
15,9.2019,10/09/2019,21,6,,,,,,,,,,
16,6.2019,25/06/2019,21,3,,,,,,,,,,
17,4.2019,30/04/2019,20,1,,,,,,,,,,
18,12.2018,30/12/2018,20,800,800000,€,Tsd.,814,FK Teplice,FK Teplice,https://tmssl.akamaized.net/images/wappen/medium/814.png?lm=1419784933,18/19,Alex Kral,0.533333333
19,10.2018,29/10/2018,20,600,600000,€,Tsd.,814,FK Teplice,FK Teplice,https://tmssl.akamaized.net/images/wappen/medium/814.png?lm=1419784933,18/19,Alex Kral,0.4
20,7.2018,14/07/2018,20,550,550000,€,Tsd.,814,FK Teplice,FK Teplice,https://tmssl.akamaized.net/images/wappen/medium/814.png?lm=1419784933,18/19,Alex Kral,0.366666667
21,12.2017,21/12/2017,19,450,450000,€,Tsd.,814,FK Teplice,FK Teplice,https://tmssl.akamaized.net/images/wappen/medium/814.png?lm=1419784933,17/18,Alex Kral,0.3
22,10.2017,07/10/2017,19,300,300000,€,Tsd.,814,FK Teplice,FK Teplice,https://tmssl.akamaized.net/images/wappen/medium/814.png?lm=1419784933,17/18,Alex Kral,0.2
23,6.2017,10/06/2017,19,150,150000,€,Tsd.,814,FK Teplice,FK Teplice,https://tmssl.akamaized.net/images/wappen/medium/814.png?lm=1419784933,16/17,Alex Kral,0.1
24,4.2017,15/04/2017,18,100,100000,€,Tsd.,814,FK Teplice,FK Teplice,https://tmssl.akamaized.net/images/wappen/medium/814.png?lm=1419784933,16/17,Alex Kral,0.066666667
25,10.2016,21/10/2016,18,75,75000,€,Tsd.,6541,SK Slavia Prag B,Slavia Prag B,https://tmssl.akamaized.net/images/wappen/medium/6541.png?lm=1659955223,16/17,Alex Kral,0.05
26,11.2022,09/11/2022,24,17,,,,,,,,,,
27,9.2022,21/09/2022,24,20,,,,,,,,,,
28,6.2022,09/06/2022,24,24,,,,,,,,,,
29,12.2021,22/12/2021,23,24,,,,,,,,,,
30,6.2021,09/06/2021,23,24,,,,,,,,,,
31,2.2021,10/02/2021,23,22,,,,,,,,,,
32,11.202,26/11/2020,22,18,,,,,,,,,,
33,4.202,08/04/2020,22,15,,,,,,,,,,
34,12.2019,17/12/2019,21,17,,,,,,,,,,
35,6.2019,05/06/2019,21,20,,,,,,,,,,
36,12.2018,19/12/2018,20,20,,,,,,,,,,
37,6.2018,14/06/2018,20,15,,,,,,,,,,
38,3.2018,30/03/2018,20,5,,,,,,,,,,
39,1.2018,02/01/2018,19,3,,,,,,,,,,
40,10.2017,11/10/2017,19,1,,,,,,,,,,
41,8.2017,01/08/2017,19,800,800000,€,Tsd.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,17/18,Amadou Haidara,0.04
42,5.2017,27/05/2017,19,600,600000,€,Tsd.,37024,FC Liefering,FC Liefering,https://tmssl.akamaized.net/images/wappen/medium/37024.png?lm=1427361240,16/17,Amadou Haidara,0.03
43,12.2016,03/12/2016,18,300,300000,€,Tsd.,37024,FC Liefering,FC Liefering,https://tmssl.akamaized.net/images/wappen/medium/37024.png?lm=1427361240,16/17,Amadou Haidara,0.015
44,7.2016,29/07/2016,18,100,100000,€,Tsd.,37024,FC Liefering,FC Liefering,https://tmssl.akamaized.net/images/wappen/medium/37024.png?lm=1427361240,16/17,Amadou Haidara,0.005
45,11.2022,09/11/2022,23,5,,,,,,,,,,
46,6.2022,09/06/2022,23,2,,,,,,,,,,
47,12.2021,26/12/2021,22,1,,,,,,,,,,
48,7.2021,15/07/2021,22,1,,,,,,,,,,
49,6.2021,01/06/2021,22,700,700000,€,Tsd.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,20/21,András Schäfer,2
50,12.202,28/12/2020,21,550,550000,€,Tsd.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,20/21,András Schäfer,1.571428571
51,7.202,10/07/2020,21,400,400000,€,Tsd.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,20/21,András Schäfer,1.142857143
52,4.202,08/04/2020,20,350,350000,€,Tsd.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,19/20,András Schäfer,1
53,12.2019,30/12/2019,20,400,400000,€,Tsd.,862,Chievo Verona,Chievo Verona,https://tmssl.akamaized.net/images/wappen/medium/862.png?lm=1454498424,19/20,András Schäfer,1.142857143
54,6.2019,06/06/2019,20,400,400000,€,Tsd.,252,Genua CFC,Genua CFC,https://tmssl.akamaized.net/images/wappen/medium/252.png?lm=1655305880,18/19,András Schäfer,1.142857143
55,1.2019,05/01/2019,19,400,400000,€,Tsd.,634,MTK Budapest,MTK Budapest,https://tmssl.akamaized.net/images/wappen/medium/634.png?lm=1471454144,18/19,András Schäfer,1.142857143
56,3.2018,15/03/2018,18,175,175000,€,Tsd.,634,MTK Budapest,MTK Budapest,https://tmssl.akamaized.net/images/wappen/medium/634.png?lm=1471454144,17/18,András Schäfer,0.5
57,10.2017,06/10/2017,18,150,150000,€,Tsd.,634,MTK Budapest,MTK Budapest,https://tmssl.akamaized.net/images/wappen/medium/634.png?lm=1471454144,17/18,András Schäfer,0.428571429
58,11.2022,09/11/2022,21,6,,,,,,,,,,
59,6.2022,09/06/2022,21,7,,,,,,,,,,
60,3.2022,24/03/2022,20,6,,,,,,,,,,
61,12.2021,22/12/2021,20,4,,,,,,,,,,
62,10.2021,07/10/2021,20,3,,,,,,,,,,
63,6.2021,14/06/2021,20,2,,,,,,,,,,
64,1.2021,20/01/2021,19,2,,,,,,,,,,
65,11.202,11/11/2020,19,2,,,,,,,,,,
