;date;unformattedDate;age;marketValue;marketValueUnformatted;marketValueCurrency;marketValueNumeral;clubID;clubName;clubShortName;clubImage;seasonID;Name;normalized MV
0;12.2022;2022-12-08;18;1,00;1000000;€;Mio.;17;Borussia Dortmund II;B. Dortmund II;https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305;22/23;Abdoulaye Kamara;1.0
1;6.2022;2022-06-09;17;1,00;1000000;€;Mio.;17;Borussia Dortmund II;B. Dortmund II;https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305;21/22;Abdoulaye Kamara;1.0
2;12.2021;2021-12-22;17;1,00;1000000;€;Mio.;17;Borussia Dortmund II;B. Dortmund II;https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305;21/22;Abdoulaye Kamara;1.0
3;8.2021;2021-08-07;16;1,00;1000000;€;Mio.;17;Borussia Dortmund II;B. Dortmund II;https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305;21/22;Abdoulaye Kamara;1.0
4;11.2022;2022-11-09;24;4,50;4500000;€;Mio.;33;FC Schalke 04;FC Schalke 04;https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846;22/23;Alex Kral;3.0
5;9.2022;2022-09-21;24;5,50;5500000;€;Mio.;33;FC Schalke 04;FC Schalke 04;https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846;22/23;Alex Kral;3.6666666666666665
6;6.2022;2022-06-15;24;7,00;7000000;€;Mio.;379;West Ham United;West Ham Utd.;https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260;21/22;Alex Kral;4.666666666666667
7;3.2022;2022-03-29;23;7,00;7000000;€;Mio.;379;West Ham United;West Ham Utd.;https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260;21/22;Alex Kral;4.666666666666667
8;12.2021;2021-12-23;23;8,00;8000000;€;Mio.;379;West Ham United;West Ham Utd.;https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260;21/22;Alex Kral;5.333333333333333
9;5.2021;2021-05-28;23;10,00;10000000;€;Mio.;232;Spartak Moskau;Spartak Moskau;https://tmssl.akamaized.net/images/wappen/medium/232.png?lm=1645543288;20/21;Alex Kral;6.666666666666667
10;12.202;2020-12-29;22;9,00;9000000;€;Mio.;232;Spartak Moskau;Spartak Moskau;https://tmssl.akamaized.net/images/wappen/medium/232.png?lm=1645543288;20/21;Alex Kral;6.0
11;10.202;2020-10-19;22;8,00;8000000;€;Mio.;232;Spartak Moskau;Spartak Moskau;https://tmssl.akamaized.net/images/wappen/medium/232.png?lm=1645543288;20/21;Alex Kral;5.333333333333333
12;7.202;2020-07-29;22;7,50;7500000;€;Mio.;232;Spartak Moskau;Spartak Moskau;https://tmssl.akamaized.net/images/wappen/medium/232.png?lm=1645543288;20/21;Alex Kral;5.0
13;4.202;2020-04-08;21;6,70;6700000;€;Mio.;232;Spartak Moskau;Spartak Moskau;https://tmssl.akamaized.net/images/wappen/medium/232.png?lm=1645543288;19/20;Alex Kral;4.466666666666667
14;12.2019;2019-12-23;21;7,50;7500000;€;Mio.;232;Spartak Moskau;Spartak Moskau;https://tmssl.akamaized.net/images/wappen/medium/232.png?lm=1645543288;19/20;Alex Kral;5.0
