Ruecken-Nr.,Vorname,Nachname,Club,Position,left/fight-foot,Born,contract duration,c-year,wage per year,2007 Market value,2008 Market value,2009 Market value,2010 Market value,2011 Market value,2012 Market value,2013 Market value,2014 Market value,2015 Market value,2016 Market value,2017 Market value,2018 Market value,2019 Market value,2020 Market value,2021 Market value,2022 Market value,2023 Market value,wage,2024 Market value,2025 Market value,2026 Market value,Contract end
2,Mateu Morey,Bauza,BVB,defence,Rechts-Fuss,2000-03-02,5,2019,996000,0,0,0,0,0,0,0,0,0,0,0,300000,1000000,3000000,7000000,4000000,1500000,"996,000","5,469,378","7,371,965","8,692,363",2024
4,Nico,Schlotterbeck ,BVB,defence,Links-Fuss,1999-12-01,5,2022,224000,0,0,0,0,0,0,0,0,0,0,0,75000,2500000,4000000,13000000,33000000,40000000,"896,000","45,122,366","60,818,708","71,711,994",2027
13,Raphael,Guerreiro ,BVB,defence,Links-Fuss,1993-12-22,4,2019,5000000,0,0,0,0,0,200000,2000000,3500000,7500000,18000000,20000000,21000000,25000000,35000000,40000000,20000000,20000000,"2,500,000.0","17,536,300","13,563,472","10,255,469",2023
14,Nico,Schulz,BVB,defence,Links-Fuss,1993-04-01,5,2019,6000000,0,0,0,500000,1000000,500000,2200000,3000000,3500000,3000000,3000000,20000000,25000000,10000000,6000000,2000000,2000000,"6,000,000","1,546,902","1,169,627","751,755",2024
15,Mats,Hummels,BVB,defence,Rechts-Fuss,1988-12-16,4,2019,10000000,250000,2500000,4500000,10000000,15000000,20000000,26000000,35000000,35000000,32000000,40000000,40000000,30000000,20000000,9000000,6500000,6500000,"5,000,000.0","3,471,666","1,951,983","866,356",2023
24,Thomas,Meunier,BVB,defence,Rechts-Fuss,1991-09-12,4,2020,3100000,0,0,0,0,700000,2000000,2200000,3500000,7000000,6000000,9000000,35000000,30000000,28000000,9000000,6500000,6500000,"3,100,000","4,914,711","3,158,834","2,059,625",2024
36,Thom,Rothe,BVB,defence,Links-Fuss,2004-10-29,2,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,3500000,3500000,0,"8,221,022","15,116,469","29,505,567",2024
47,Antonios,Papadopoulos,BVB,defence,Rechts-Fuss,1999-09-10,3,2021,0,0,0,0,0,0,0,0,0,0,0,50000,50000,200000,200000,300000,600000,600000,0,"820,407","1,105,795","1,303,854",2024
26,Julian,Ryerson,BVB,defence,Rechts-Fuss,1997-11-17,3,2023,1080000,0,0,0,0,0,0,0,0,0,0,200000,400000,500000,800000,4000000,7500000,10000000,"3,240,000","8,843,331","9,905,059","10,071,365",2026
25,Niklas,Suele,BVB,defence,Rechts-Fuss,1995-09-03,4,2022,3000000,0,0,0,0,0,25000,1000000,5500000,8000000,12000000,30000000,50000000,60000000,48000000,35000000,35000000,35000000,"9,000,000","35,587,652","33,123,513","29,043,193",2026
44,Soumaila,Coulibaly,BVB,defence,Links-Fuss,2003-10-14,3,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,750000,1000000,1000000,0,"1,838,758","3,589,039","5,690,880",2024
6,Salih,Oezcan ,BVB,midfield,Rechts-Fuss,1998-11-01,4,2022,547000,0,1,1,1,1,1,1,1,1,500000,2500000,3500000,2500000,2700000,4000000,17000000,17000000,"1,641,000","23,696,703","28,687,803","33,188,047",2026
7,Giovanni,Reyna,BVB,midfield,Rechts-Fuss,2002-11-13,5,2020,876000,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,42000000,35000000,28000000,"1,752,000","70,829,838","115,545,483","194,064,714",2025
8,Mahmoud,Dahoud,BVB,midfield,Rechts-Fuss,1996-01-01,6,2017,4000000,0,0,0,0,0,0,0,600000,2500000,15000000,15000000,18000000,8000000,10000000,18000000,18000000,12000000,"2,000,000.0","18,772,330","18,023,868","16,193,100",2023
11,Marco,Reus,BVB,midfield,Rechts-Fuss,1989-05-31,5,2018,6600000,0,250000,1500000,6500000,14000000,27000000,34000000,50000000,45000000,40000000,28000000,50000000,40000000,25000000,13000000,9000000,9000000,"3,300,000.0","4,939,790","2,837,262","1,292,442",2023
17,Marius,Wolf,BVB,midfield,Rechts-Fuss,1995-05-27,6,2018,3300000,0,0,0,0,0,0,0,100000,800000,1000000,500000,10000000,8000000,6500000,5000000,6500000,9000000,"3,300,000","6,240,842","5,606,930","4,467,868",2024
19,Julian,Brandt,BVB,midfield,Rechts-Fuss,1996-05-02,5,2019,7000000,0,0,0,0,0,0,0,1000000,10000000,16000000,30000000,40000000,50000000,35000000,25000000,25000000,40000000,"7,000,000","26,072,681","25,033,150","22,490,417",2024
22,Jude,Bellingham,BVB,midfield,Rechts-Fuss,2003-06-29,4,2021,3000000,0,0,0,0,0,0,0,0,0,0,0,0,25000000,27000000,75000000,100000000,120000000,"6,000,000","189,365,301","383,220,388","625,151,575",2025
23,Emre,Can,BVB,midfield,Rechts-Fuss,1994-01-12,4,2020,9300000,0,0,0,0,0,300000,5000000,12000000,15000000,18000000,22000000,30000000,30000000,26000000,22000000,14000000,14000000,"9,300,000","12,577,955","10,022,712","7,757,175",2024
30,Felix,Passlack,BVB,midfield,Rechts-Fuss,1998-05-29,2,2021,943000,0,0,0,0,0,0,0,0,0,0,0,1500000,1500000,3000000,2500000,1500000,1500000,"471,500.0","1,815,936","2,100,802","2,190,941",2023
32,Abdoulaye,Kamara,BVB,midfield,Rechts-Fuss,2004-11-06,3,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,1000000,0,"2,438,388","4,617,461","9,344,400",2024
42,Goektan,guerpuez,BVB,midfield,Rechts-Fuss,2003-01-22,3,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,300000,300000,0,"607,113","990,390","1,663,412",2024
9,Sebastien,Haller,BVB,attack,Rechts-Fuss,1994-06-22,4,2022,2000000,0,0,0,0,0,200000,750000,1250000,3500000,7500000,12000000,35000000,45000000,30000000,27000000,35000000,30000000,"6,000,000","34,771,362","32,374,520","27,258,613",2026
18,Youssoufa,Moukoko,BVB,attack,Links-Fuss,2004-11-20,3,2020,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,15000000,30000000,30000000,"180,000.0","68,161,814","123,008,679","236,865,821",2023
20,Anthony,Modeste,BVB,attack,Rechts-Fuss,1988-04-14,1,2022,2300000,0,0,0,0,0,0,0,0,0,0,0,16000000,4000000,2800000,2000000,4000000,1000000,"1,150,000.0","2,503,767","1,283,319","703,697",2023
21,Donyell,Malen,BVB,attack,Rechts-Fuss,1999-01-19,5,2021,366000,0,0,0,0,0,0,0,0,0,0,0,5000000,28000000,25000000,30000000,27000000,16000000,"1,098,000","37,344,265","45,307,567","53,110,164",2026
