;date;unformattedDate;age;marketValue;marketValueUnformatted;marketValueCurrency;marketValueNumeral;clubID;clubName;clubShortName;clubImage;seasonID;Name;normalized MV;Div from normal distr;performer
0;11.2022;2022-11-09;18;300;300000;€;Tsd.;167;FC Augsburg;FC Augsburg;https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897;22/23;Aaron Zehnter;1.0;0.6719300270973774;Over
1;7.2022;2022-07-05;17;300;300000;€;Tsd.;167;FC Augsburg;FC Augsburg;https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897;22/23;Aaron Zehnter;1.0;0.8606835069732232;Over
2;11.2022;2022-11-09;25;7,00;7000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;22/23;Aarón Martín;0.35;-12.432680530484491;Under
3;6.2022;2022-06-09;25;5,00;5000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;21/22;Aarón Martín;0.25;-12.532680530484491;Under
4;12.2021;2021-12-22;24;5,00;5000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;21/22;Aarón Martín;0.25;-9.475927633367027;Under
5;6.2021;2021-06-10;24;4,50;4500000;€;Mio.;940;Celta Vigo;Celta Vigo;https://tmssl.akamaized.net/images/wappen/medium/940.png?lm=1406966406;20/21;Aarón Martín;0.225;-9.500927633367027;Under
6;1.2021;2021-01-05;23;3,00;3000000;€;Mio.;940;Celta Vigo;Celta Vigo;https://tmssl.akamaized.net/images/wappen/medium/940.png?lm=1406966406;20/21;Aarón Martín;0.15;-6.65860702665314;Under
7;11.202;2020-11-26;23;4,50;4500000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;20/21;Aarón Martín;0.225;-6.583607026653141;Under
8;9.202;2020-09-16;23;7,00;7000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;20/21;Aarón Martín;0.35;-6.458607026653141;Under
9;4.202;2020-04-08;22;10,50;10500000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;19/20;Aarón Martín;0.525;-3.8603437277978148;Under
10;3.202;2020-03-11;22;13,00;13000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;19/20;Aarón Martín;0.65;-3.7353437277978148;Under
11;12.2019;2019-12-17;22;16,00;16000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;19/20;Aarón Martín;0.8;-3.585343727797815;Under
12;6.2019;2019-06-05;22;20,00;20000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;18/19;Aarón Martín;1.0;-3.3853437277978147;Under
13;3.2019;2019-03-06;21;16,00;16000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;18/19;Aarón Martín;0.8;-1.7987658211489974;Under
14;12.2018;2018-12-18;21;12,00;12000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;18/19;Aarón Martín;0.6;-1.9987658211489974;Under
15;8.2018;2018-08-22;21;10,00;10000000;€;Mio.;39;1.FSV Mainz 05;1.FSV Mainz 05;https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880;18/19;Aarón Martín;0.5;-2.0987658211489975;Under
16;5.2018;2018-05-30;21;12,00;12000000;€;Mio.;714;Espanyol Barcelona;Esp. Barcelona;https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369;17/18;Aarón Martín;0.6;-1.9987658211489974;Under
17;3.2018;2018-03-22;20;20,00;20000000;€;Mio.;714;Espanyol Barcelona;Esp. Barcelona;https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369;17/18;Aarón Martín;1.0;-0.4169312842180819;Under
18;1.2018;2018-01-01;20;15,00;15000000;€;Mio.;714;Espanyol Barcelona;Esp. Barcelona;https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369;17/18;Aarón Martín;0.75;-0.6669312842180819;Under
19;6.2017;2017-06-05;20;10,00;10000000;€;Mio.;714;Espanyol Barcelona;Esp. Barcelona;https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369;16/17;Aarón Martín;0.5;-0.9169312842180819;Under
